From	To	Species	Gene Name
184847	NM_001270271	Caenorhabditis elegans	Choline/EthanolaminePhosphoTransferase(cept-1)
177804	NM_069324	Caenorhabditis elegans	DDB1 and CUL4-Associated Factor (DCAF1/VprBP) homolog(dcaf-1)
177804	NM_001307074	Caenorhabditis elegans	DDB1 and CUL4-Associated Factor (DCAF1/VprBP) homolog(dcaf-1)
181124	NM_077087	Caenorhabditis elegans	Troponin I 2(unc-27)
174571	NM_063776	Caenorhabditis elegans	Proteasome subunit alpha type-3(pas-7)
176920	NM_001307475	Caenorhabditis elegans	hypothetical protein(Y55F3AM.9)
176920	NM_067622	Caenorhabditis elegans	hypothetical protein(Y55F3AM.9)
175080	NM_064568	Caenorhabditis elegans	Lysine-specific demethylase 4(jmjd-2)
179839	NR_023972	Caenorhabditis elegans	hypothetical protein(C56A3.8)
179839	NM_001269598	Caenorhabditis elegans	hypothetical protein(C56A3.8)
179839	NM_073957	Caenorhabditis elegans	hypothetical protein(C56A3.8)
172505	AY008140	Caenorhabditis elegans	Guanine nucleotide-binding protein G(o) subunit alpha(goa-1)
172505	NM_059707	Caenorhabditis elegans	Guanine nucleotide-binding protein G(o) subunit alpha(goa-1)
183190	NM_068892	Caenorhabditis elegans	Protein-tyrosine-phosphatase(C33H5.16)
176527	NM_067004	Caenorhabditis elegans	2 (Zwei) IG domain protein(zig-5)
179148	NM_072587	Caenorhabditis elegans	CYtochrome P450 family(cyp-33A1)
179246	NM_171491	Caenorhabditis elegans	AuTophaGy (yeast Atg homolog)(atg-18)
179246	NM_171492	Caenorhabditis elegans	AuTophaGy (yeast Atg homolog)(atg-18)
179247	NM_072831	Caenorhabditis elegans	ASpartyl Protease(asp-13)
4363053	NM_001047418	Caenorhabditis elegans	T BoX family(tbx-43)
175268	NM_064922	Caenorhabditis elegans	CHImaeriN (Rac-GTPase-activating protein) homolog(chin-1)
173766	NM_062361	Caenorhabditis elegans	hypothetical protein(H20J04.6)
185801	NM_001027002	Caenorhabditis elegans	hypothetical protein(F45E10.2)
185801	NM_001027003	Caenorhabditis elegans	hypothetical protein(F45E10.2)
176715	NM_067290	Caenorhabditis elegans	Toxin-regulated Targets of MAPK(ttm-1)
176715	NM_067291	Caenorhabditis elegans	Toxin-regulated Targets of MAPK(ttm-1)
176715	NM_001312975	Caenorhabditis elegans	Toxin-regulated Targets of MAPK(ttm-1)
174499	NM_063616	Caenorhabditis elegans	Receptor-like tyrosine-protein kinase kin-16(kin-16)
174498	NM_171855	Caenorhabditis elegans	Receptor-like tyrosine-protein kinase kin-15(kin-15)
174498	NM_171029	Caenorhabditis elegans	Receptor-like tyrosine-protein kinase kin-15(kin-15)
176813	NM_067439	Caenorhabditis elegans	DreBriN 1/DreBriN-like (where Drebrin is from Developmentally REgulated BRaIN protein) family homolog(dbn-1)
188574	NM_077690	Caenorhabditis elegans	Cation Diffusion Facilitator family(cdf-2)
188574	NM_001313452	Caenorhabditis elegans	Cation Diffusion Facilitator family(cdf-2)
174689	U19615	Caenorhabditis elegans	Pre-mRNA-splicing factor CWC22 homolog(let-858)
174689	NM_063962	Caenorhabditis elegans	Pre-mRNA-splicing factor CWC22 homolog(let-858)
172896	NM_060298	Caenorhabditis elegans	Serine/threonine-protein kinase WARTS homolog(wts-1)
182185	NM_001026738	Caenorhabditis elegans	Growth hormone-regulated TBC protein 6(tbc-6)
175841	NM_065889	Caenorhabditis elegans	CDK5RAP1-like protein(F25B5.5)
172515	NM_059720	Caenorhabditis elegans	Piwi-like protein(prg-1)
181718	NM_078285	Caenorhabditis elegans	hypothetical protein(F59C12.3)
181060	NM_076950	Caenorhabditis elegans	hypothetical protein(C34D10.1)
181716	NM_001029558	Caenorhabditis elegans	SERotonin/octopamine receptor family(ser-1)
181716	NM_001029557	Caenorhabditis elegans	SERotonin/octopamine receptor family(ser-1)
181716	AF031414	Caenorhabditis elegans	SERotonin/octopamine receptor family(ser-1)
181716	AF031415	Caenorhabditis elegans	SERotonin/octopamine receptor family(ser-1)
181067	NM_001322625	Caenorhabditis elegans	Cation-transporting ATPase(catp-5)
181067	NM_001029597	Caenorhabditis elegans	Cation-transporting ATPase(catp-5)
181067	NM_001029596	Caenorhabditis elegans	Cation-transporting ATPase(catp-5)
182577	NM_071942	Caenorhabditis elegans	UDP-GlucuronosylTransferase(ugt-7)
185120	NM_073327	Caenorhabditis elegans	UDP-GlucuronosylTransferase(ugt-34)
175048	NM_064525	Caenorhabditis elegans	hypothetical protein(Y39G8B.2)
175047	NM_064523	Caenorhabditis elegans	hypothetical protein(Y39G8B.1)
175047	NM_064524	Caenorhabditis elegans	hypothetical protein(Y39G8B.1)
179097	NM_072396	Caenorhabditis elegans	hypothetical protein(VC5.2)
185653	NM_069069	Caenorhabditis elegans	CYtochrome P450 family(cyp-33E2)
172343	NM_001047252	Caenorhabditis elegans	hypothetical protein(ZC328.3)
172343	NM_001047251	Caenorhabditis elegans	hypothetical protein(ZC328.3)
174258	NM_001267198	Caenorhabditis elegans	GLutamate Receptor family (AMPA)(glr-4)
174258	NM_001267197	Caenorhabditis elegans	GLutamate Receptor family (AMPA)(glr-4)
191310	NM_075252	Caenorhabditis elegans	ASpartyl Protease(asp-18)
187167	NM_074333	Caenorhabditis elegans	hypothetical protein(K08F9.1)
187167	NM_001307781	Caenorhabditis elegans	hypothetical protein(K08F9.1)
176220	NM_001129199	Caenorhabditis elegans	hypothetical protein(B0303.7)
176220	NM_066517	Caenorhabditis elegans	hypothetical protein(B0303.7)
185991	NM_077927	Caenorhabditis elegans	ARRestin Domain protein(arrd-24)
179876	NM_074017	Caenorhabditis elegans	Seven WD repeats, AN11 family(swan-1)
179875	NM_074016	Caenorhabditis elegans	Seven WD repeats, AN11 family(swan-2)
182861	NM_067125	Caenorhabditis elegans	Putative T-box protein 38(tbx-38)
179192	AY160228	Caenorhabditis elegans	REST corepressor spr-1(spr-1)
179192	NM_072697	Caenorhabditis elegans	REST corepressor spr-1(spr-1)
179192	AF548624	Caenorhabditis elegans	REST corepressor spr-1(spr-1)
172938	NM_060359	Caenorhabditis elegans	hypothetical protein(F25H2.4)
179190	NM_072693	Caenorhabditis elegans	MYOsin heavy chain structural genes(myo-5)
179734	NM_073763	Caenorhabditis elegans	Histone H3.3-like type 2(his-74)
180799	NM_001270089	Caenorhabditis elegans	hypothetical protein(Y34B4A.8)
180799	NM_001270090	Caenorhabditis elegans	hypothetical protein(Y34B4A.8)
172233	NM_059263	Caenorhabditis elegans	hypothetical protein(unc-40)
172233	U70618	Caenorhabditis elegans	hypothetical protein(unc-40)
174364	NM_063398	Caenorhabditis elegans	hypothetical protein(T13H5.4)
174367	NM_063406	Caenorhabditis elegans	Eukaryotic translation initiation factor 5A-2(iff-2)
176498	NM_066962	Caenorhabditis elegans	Phospholipid-transporting ATPase(tat-3)
172474	NM_059657	Caenorhabditis elegans	Probable prefoldin subunit 6(pfd-6)
179692	NM_073692	Caenorhabditis elegans	SyNaptoBrevin related(snb-2)
172471	NM_059652	Caenorhabditis elegans	Myosin-1(myo-1)
187184	NM_077803	Caenorhabditis elegans	CYtochrome P450 family(cyp-14A2)
187185	NM_077804	Caenorhabditis elegans	CYtochrome P450 family(cyp-14A3)
179688	NM_073687	Caenorhabditis elegans	hypothetical protein(R04F11.3)
185981	NM_076865	Caenorhabditis elegans	hypothetical protein(F48E3.2)
3564933	NM_182344	Caenorhabditis elegans	UDP-GlucuronosylTransferase(ugt-39)
3564933	NM_072415	Caenorhabditis elegans	UDP-GlucuronosylTransferase(ugt-39)
172740	NM_060053	Caenorhabditis elegans	Protein-tyrosine-phosphatase(F25H5.7)
187181	NM_073171	Caenorhabditis elegans	hypothetical protein(K08H10.6)
179863	NM_073994	Caenorhabditis elegans	hypothetical protein(T01D3.6)
179863	NM_073993	Caenorhabditis elegans	hypothetical protein(T01D3.6)
172675	NM_059954	Caenorhabditis elegans	hypothetical protein(F39H11.1)
175756	NM_065771	Caenorhabditis elegans	Rho guanine nucleotide exchange factor osg-1(osg-1)
172468	NM_059650	Caenorhabditis elegans	Mitotic checkpoint serine/threonine-protein kinase bub-1(bub-1)
172360	AF154122	Caenorhabditis elegans	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase(gly-2)
172360	NM_059473	Caenorhabditis elegans	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase(gly-2)
172360	AY037802	Caenorhabditis elegans	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase(gly-2)
179168	NM_001028732	Caenorhabditis elegans	Phosphatidylethanolamine-binding protein homolog F40A3.3(F40A3.3)
179168	NM_001028733	Caenorhabditis elegans	Phosphatidylethanolamine-binding protein homolog F40A3.3(F40A3.3)
179168	NM_001313176	Caenorhabditis elegans	Phosphatidylethanolamine-binding protein homolog F40A3.3(F40A3.3)
179860	AF370362	Caenorhabditis elegans	Helix-loop-helix 34(hlh-34)
179860	NM_073990	Caenorhabditis elegans	Helix-loop-helix 34(hlh-34)
172228	NM_059256	Caenorhabditis elegans	Protein-tyrosine-phosphatase(F55F8.7)
172464	NM_001026412	Caenorhabditis elegans	Dihydropyrimidinase 1(dhp-1)
172464	AB040992	Caenorhabditis elegans	Dihydropyrimidinase 1(dhp-1)
176242	NM_066549	Caenorhabditis elegans	hypothetical protein(F44E2.3)
182888	NM_072941	Caenorhabditis elegans	CYtochrome P450 family(cyp-33B1)
179759	NM_073808	Caenorhabditis elegans	UDP-glucuronosyltransferase(ugt-18)
180418	NM_171615	Caenorhabditis elegans	NCAM (neural cell adhesion molecule) homolog(ncam-1)
180418	NM_171616	Caenorhabditis elegans	NCAM (neural cell adhesion molecule) homolog(ncam-1)
180418	NM_171617	Caenorhabditis elegans	NCAM (neural cell adhesion molecule) homolog(ncam-1)
180418	AF456360	Caenorhabditis elegans	NCAM (neural cell adhesion molecule) homolog(ncam-1)
189267	NM_074842	Caenorhabditis elegans	CTP synthase(ctps-1)
3565443	NM_001028523	Caenorhabditis elegans	UDP-GlucuronosylTransferase(ugt-35)
172562	NM_059785	Caenorhabditis elegans	Non-muscle MYosin(nmy-2)
176343	NM_001268077	Caenorhabditis elegans	WW domain-containing protein ZK1098.1(ZK1098.1)
176343	NM_001268076	Caenorhabditis elegans	WW domain-containing protein ZK1098.1(ZK1098.1)
179755	NM_073801	Caenorhabditis elegans	UDP-glucuronosyltransferase(ugt-6)
176344	NM_066699	Caenorhabditis elegans	Trafficking protein particle complex subunit 3 homolog(trpp-3)
179754	NM_001047738	Caenorhabditis elegans	UDP-glucuronosyltransferase(ugt-4)
179754	NR_003178	Caenorhabditis elegans	UDP-glucuronosyltransferase(ugt-4)
187002	NM_059436	Caenorhabditis elegans	hypothetical protein(K04F10.1)
179753	NM_182346	Caenorhabditis elegans	UDP-GlucuronosylTransferase(ugt-5)
179753	NM_073799	Caenorhabditis elegans	UDP-GlucuronosylTransferase(ugt-5)
192081	NM_001307773	Caenorhabditis elegans	hypothetical protein(unc-42)
192081	NM_001307771	Caenorhabditis elegans	hypothetical protein(unc-42)
192081	NM_001307772	Caenorhabditis elegans	hypothetical protein(unc-42)
192081	NM_073118	Caenorhabditis elegans	hypothetical protein(unc-42)
192081	NM_001276916	Caenorhabditis elegans	hypothetical protein(unc-42)
172754	NM_060079	Caenorhabditis elegans	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 2(nmat-2)
187290	NM_060771	Caenorhabditis elegans	hypothetical protein(K11D2.1)
187290	NM_001313472	Caenorhabditis elegans	hypothetical protein(K11D2.1)
185168	NM_070877	Caenorhabditis elegans	UDP-GlucuronosylTransferase(ugt-42)
172965	NM_060394	Caenorhabditis elegans	hypothetical protein(C34B2.5)
192084	NM_076185	Caenorhabditis elegans	SoLute Carrier Family(slcf-2)
172961	NM_001264527	Caenorhabditis elegans	hypothetical protein(B0511.12)
172961	NM_001264526	Caenorhabditis elegans	hypothetical protein(B0511.12)
174242	AF497824	Caenorhabditis elegans	Na(+)/H(+) exchanger protein 2(nhx-2)
174242	NM_063213	Caenorhabditis elegans	Na(+)/H(+) exchanger protein 2(nhx-2)
172359	NM_059471	Caenorhabditis elegans	Protein-tyrosine-phosphatase(C55B7.3)
175105	NM_064605	Caenorhabditis elegans	Ubiquitin carboxyl-terminal hydrolase 14(usp-14)
174101	NM_062957	Caenorhabditis elegans	hypothetical protein(H43E16.1)
172656	NM_059932	Caenorhabditis elegans	SLC (SoLute Carrier) homolog(slc-25A42)
174391	NM_063447	Caenorhabditis elegans	Homeobox protein ceh-7(ceh-7)
174391	AF091459	Caenorhabditis elegans	Homeobox protein ceh-7(ceh-7)
171983	NM_058875	Caenorhabditis elegans	Protein-tyrosine-phosphatase(F47B3.7)
171982	NM_058874	Caenorhabditis elegans	Protein-tyrosine-phosphatase(F47B3.6)
173970	NM_062726	Caenorhabditis elegans	DNA N6-methyl methyltransferase(C18A3.1)
172442	NR_002344	Caenorhabditis elegans	Asparagine--tRNA ligase, cytoplasmic(nars-1)
172442	NM_001026234	Caenorhabditis elegans	Asparagine--tRNA ligase, cytoplasmic(nars-1)
171984	NM_058877	Caenorhabditis elegans	Protein-tyrosine-phosphatase(F47B3.1)
172449	NM_059616	Caenorhabditis elegans	GLutamate Receptor family (AMPA)(glr-3)
187129	NM_068511	Caenorhabditis elegans	UDP-GlucuronosylTransferase(ugt-19)
179976	NM_182356	Caenorhabditis elegans	hypothetical protein(unc-61)
179976	NM_074237	Caenorhabditis elegans	hypothetical protein(unc-61)
179976	NM_001047733	Caenorhabditis elegans	hypothetical protein(unc-61)
187025	NM_074675	Caenorhabditis elegans	CYtochrome P450 family(cyp-33D1)
180534	NM_076011	Caenorhabditis elegans	Probable V-type proton ATPase subunit H 2(vha-15)
187130	NM_068512	Caenorhabditis elegans	UDP-GlucuronosylTransferase(ugt-20)
180631	NM_001029185	Caenorhabditis elegans	Actin-interacting protein 1(unc-78)
180631	AF324437	Caenorhabditis elegans	Actin-interacting protein 1(unc-78)
180631	NR_136349	Caenorhabditis elegans	Actin-interacting protein 1(unc-78)
179464	NM_073291	Caenorhabditis elegans	UDP-GlucuronosylTransferase(ugt-33)
189977	NM_067043	Caenorhabditis elegans	Putative T-box protein 37(tbx-37)
174329	NM_063348	Caenorhabditis elegans	Guanine nucleotide-binding protein-like 3 homolog(nst-1)
179449	NM_073270	Caenorhabditis elegans	UDP-GlucuronosylTransferase(ugt-1)
173367	NM_001026696	Caenorhabditis elegans	TEP (ThiolEster containing Protein)(tep-1)
173367	NM_061212	Caenorhabditis elegans	TEP (ThiolEster containing Protein)(tep-1)
173367	NM_061213	Caenorhabditis elegans	TEP (ThiolEster containing Protein)(tep-1)
179961	NM_001269669	Caenorhabditis elegans	hypothetical protein(C53A5.13)
179961	NM_001269670	Caenorhabditis elegans	hypothetical protein(C53A5.13)
182511	NM_068527	Caenorhabditis elegans	ASpartyl Protease(asp-9)
173076	NM_060628	Caenorhabditis elegans	hypothetical protein(R06C1.4)
172571	NM_059793	Caenorhabditis elegans	Protein-tyrosine-phosphatase(T22C1.8)
186195	NM_075780	Caenorhabditis elegans	hypothetical protein(F53H8.3)
259373	NM_058966	Caenorhabditis elegans	TIAM (mammalian Tumor Invasion And Metastasis factor) homolog(tiam-1)
179450	NM_073271	Caenorhabditis elegans	UDP-GlucuronosylTransferase(ugt-2)
172841	NM_001026311	Caenorhabditis elegans	Organic cation transporter 1(oct-1)
172841	AF110415	Caenorhabditis elegans	Organic cation transporter 1(oct-1)
172841	NM_060216	Caenorhabditis elegans	Organic cation transporter 1(oct-1)
172325	NM_059411	Caenorhabditis elegans	SPerm CHromatin enriched(spch-2)
186667	NM_075894	Caenorhabditis elegans	hypothetical protein(H02F09.3)
179335	NM_073056	Caenorhabditis elegans	ATP-dependent 6-phosphofructokinase 2(pfk-1.2)
182508	NM_059035	Caenorhabditis elegans	UDP-glucuronosyltransferase(ugt-27)
180655	NM_001029687	Caenorhabditis elegans	Serine/threonine-protein kinase sax-1(sax-1)
180655	NM_076226	Caenorhabditis elegans	Serine/threonine-protein kinase sax-1(sax-1)
187955	NM_074328	Caenorhabditis elegans	UDP-glucuronosyltransferase(ugt-30)
173846	NM_062492	Caenorhabditis elegans	Small Glutamine-rich Tetratrico repeat protein(sgt-1)
182635	NM_001269520	Caenorhabditis elegans	ASpartyl Protease(asp-10)
182635	NM_001269519	Caenorhabditis elegans	ASpartyl Protease(asp-10)
175914	NM_001025974	Caenorhabditis elegans	hypothetical protein(C05D11.1)
6418790	NM_001129607	Caenorhabditis elegans	ASpartyl Protease(asp-19)
171875	NM_058690	Caenorhabditis elegans	hypothetical protein(Y54E10BR.3)
174342	NM_001026917	Caenorhabditis elegans	Golgi apparatus protein 1 homolog(F14E5.2)
174342	NM_001026916	Caenorhabditis elegans	Golgi apparatus protein 1 homolog(F14E5.2)
175709	NM_181963	Caenorhabditis elegans	Protein HIRA homolog(K10D2.1)
175709	NM_065700	Caenorhabditis elegans	Protein HIRA homolog(K10D2.1)
171719	NM_058464	Caenorhabditis elegans	E3 ubiquitin-protein ligase(Y92H12A.2)
171719	NM_001306363	Caenorhabditis elegans	E3 ubiquitin-protein ligase(Y92H12A.2)
176378	NM_001027577	Caenorhabditis elegans	GRIP and coiled-coil domain-containing protein 2(gcc-2)
176378	NM_001027578	Caenorhabditis elegans	GRIP and coiled-coil domain-containing protein 2(gcc-2)
3565335	NM_001028595	Caenorhabditis elegans	Ligand-Gated ion Channel(lgc-36)
179884	NM_001269618	Caenorhabditis elegans	Serine palmitoyltransferase 3(sptl-3)
179884	NM_001269619	Caenorhabditis elegans	Serine palmitoyltransferase 3(sptl-3)
175919	NM_001312957	Caenorhabditis elegans	JHDM (histone demethylase) homolog(jhdm-1)
175919	NM_066018	Caenorhabditis elegans	JHDM (histone demethylase) homolog(jhdm-1)
175919	NM_066017	Caenorhabditis elegans	JHDM (histone demethylase) homolog(jhdm-1)
174004	NM_062784	Caenorhabditis elegans	Serine/threonine-protein kinase VRK1(vrk-1)
178401	NM_070386	Caenorhabditis elegans	hypothetical protein(Y57G11C.9)
178401	NM_070384	Caenorhabditis elegans	hypothetical protein(Y57G11C.9)
178401	NM_070385	Caenorhabditis elegans	hypothetical protein(Y57G11C.9)
178401	NM_001276887	Caenorhabditis elegans	hypothetical protein(Y57G11C.9)
189841	NM_001269360	Caenorhabditis elegans	Cyclin-Dependent Kinase-Like(cdkl-1)
189841	NM_001269361	Caenorhabditis elegans	Cyclin-Dependent Kinase-Like(cdkl-1)
189841	NM_001269362	Caenorhabditis elegans	Cyclin-Dependent Kinase-Like(cdkl-1)
189364	NM_071198	Caenorhabditis elegans	CYtochrome P450 family(cyp-33C12)
180583	NR_132541	Caenorhabditis elegans	ATP-dependent 6-phosphofructokinase 1(pfk-1.1)
180583	NM_171643	Caenorhabditis elegans	ATP-dependent 6-phosphofructokinase 1(pfk-1.1)
172803	NM_001129042	Caenorhabditis elegans	Nicalin(nra-2)
172803	NM_060152	Caenorhabditis elegans	Nicalin(nra-2)
178173	NM_069929	Caenorhabditis elegans	Ribosomal Protein, Large subunit(rpl-34)
175591	NM_065517	Caenorhabditis elegans	UDP-glucuronosyltransferase(ugt-62)
259497	NM_001026051	Caenorhabditis elegans	hypothetical protein(C46F11.6)
172491	NM_001136291	Caenorhabditis elegans	Paramyosin(unc-15)
172491	NM_059684	Caenorhabditis elegans	Paramyosin(unc-15)
189740	NM_171585	Caenorhabditis elegans	ASpartyl Protease(asp-15)
181329	NM_077505	Caenorhabditis elegans	Troponin I 1(tni-1)
266651	NM_058971	Caenorhabditis elegans	TM2 domain-containing protein C41D11.9(C41D11.9)
