Gene stable ID	Gene start (bp)	Gene end (bp)
WBGene00001156	14367608	14369773
WBGene00001167	9163531	9166952
WBGene00001196	1835631	1841936
WBGene00001214	7650418	7656336
WBGene00001215	11400612	11416427
WBGene00001226	9976393	9979662
WBGene00001228	10640465	10642281
WBGene00001231	4444719	4446598
WBGene00001232	2485867	2489780
WBGene00001234	12968921	12970238
WBGene00001309	1842445	1843227
WBGene00001333	5284062	5291604
WBGene00001334	14663209	14674822
WBGene00001337	10336395	10341178
WBGene00001365	14511431	14518719
WBGene00001372	11907571	11909280
WBGene00001377	14220783	14231360
WBGene00001404	2580935	2586126
WBGene00001405	9711064	9712719
WBGene00001414	8623017	8631184
WBGene00001427	12918722	12919278
WBGene00001430	3898046	3899840
WBGene00001432	10667808	10671301
WBGene00001433	12916441	12918108
WBGene00001442	10163475	10165135
WBGene00001481	3211046	3217366
WBGene00001483	10016778	10018114
WBGene00001488	14875784	14900213
WBGene00001491	5402889	5408344
WBGene00001497	6211986	6214645
WBGene00001501	3680178	3680944
WBGene00001542	2223307	2233099
WBGene00001555	13325230	13333508
WBGene00001568	8962322	8966129
WBGene00001574	9100846	9107939
WBGene00001582	9737823	9744190
WBGene00001590	9226905	9228184
WBGene00001592	4885062	4888002
WBGene00001595	7695661	7698227
WBGene00001596	6369934	6386183
WBGene00001598	6854688	6857529
WBGene00001599	6513928	6517507
WBGene00001600	5792324	5795114
WBGene00001601	3726011	3731265
WBGene00001614	7117808	7121545
WBGene00001627	6507894	6511630
WBGene00001640	12462176	12465831
WBGene00001641	12379335	12381032
WBGene00001642	12376904	12378674
WBGene00001643	7110240	7112287
WBGene00001644	7112903	7115001
WBGene00001647	7699543	7700958
WBGene00001648	7522116	7526703
WBGene00001651	8549513	8570998
WBGene00001676	5942419	5945537
WBGene00001677	8531760	8534527
WBGene00001678	897286	906077
WBGene00001680	7318290	7321085
WBGene00001682	6757763	6758178
WBGene00001704	13564567	13566362
WBGene00001707	1259374	1268155
WBGene00001725	572177	575120
WBGene00001745	1068484	1075010
WBGene00001746	12819216	12825562
WBGene00001773	1451122	1453077
WBGene00001791	2901325	2903006
WBGene00001814	489969	496150
WBGene00001816	1162880	1175868
WBGene00001819	6081782	6085962
WBGene00001832	3862775	3865938
WBGene00001833	5165152	5171313
WBGene00001836	11912791	11917719
WBGene00001843	9049460	9055457
WBGene00001856	5774585	5775610
WBGene00001859	5463480	5469627
WBGene00001860	4951570	4957667
WBGene00001941	9988341	9988826
WBGene00001942	9989061	9989617
WBGene00001949	7190834	7193924
WBGene00001960	8767019	8768042
WBGene00001973	5815609	5818132
WBGene00001979	14738882	14742657
WBGene00001980	11075758	11134667
WBGene00001985	4208515	4210341
WBGene00001990	8683220	8687217
WBGene00002000	12060271	12064897
WBGene00002004	11953512	11961984
WBGene00002026	9320325	9322534
WBGene00002027	9626241	9630848
WBGene00002034	4827072	4829794
WBGene00002035	8845809	8851116
WBGene00002040	585831	607601
WBGene00002042	3698102	3699300
WBGene00002047	2304512	2306816
WBGene00002069	9685398	9688653
WBGene00002070	9609501	9611620
WBGene00002073	6315233	6317267
WBGene00002075	4920707	4926233
WBGene00002077	310981	314989
WBGene00002079	318390	323352
WBGene00002101	8147400	8149723
WBGene00002107	14031147	14031667
WBGene00002108	14020364	14021155
WBGene00002109	14037151	14037803
WBGene00002110	14027236	14027588
WBGene00002111	14012369	14013629
WBGene00002112	14018785	14019759
WBGene00002113	14035096	14036057
WBGene00002116	13637845	13639311
WBGene00002119	11212426	11215091
WBGene00002134	3755457	3759077
WBGene00002135	3748523	3753958
WBGene00002136	7350312	7352235
WBGene00002137	4159014	4161149
WBGene00002138	4162035	4165015
WBGene00002139	4165135	4167229
WBGene00002141	2451908	2464637
WBGene00002142	9874698	9879119
WBGene00002143	3611909	3618317
WBGene00002144	3608395	3612301
WBGene00002153	10179832	10184075
WBGene00002174	2802822	2815786
WBGene00002179	7946186	7951593
WBGene00002181	14128594	14142207
WBGene00002189	14919533	14951924
WBGene00002191	10734022	10736615
WBGene00002196	8288959	8291077
WBGene00002198	7075918	7079566
WBGene00002205	11640687	11642206
WBGene00002213	5086317	5093793
WBGene00002225	5577055	5579394
WBGene00002226	9512428	9514755
WBGene00002232	11675850	11680975
WBGene00002240	12047469	12059798
WBGene00002248	10608466	10621433
WBGene00002257	6731267	6732280
WBGene00002258	6728290	6729376
WBGene00002276	9578526	9581267
WBGene00002324	14820381	14821651
WBGene00002348	7258915	7267117
WBGene00002393	557375	561671
WBGene00002583	5245743	5263413
WBGene00002601	6320289	6324018
WBGene00002694	4738171	4744321
WBGene00002696	4129469	4132292
WBGene00002717	5300901	5317392
WBGene00002783	6574004	6585510
WBGene00002804	5162599	5164884
WBGene00002977	14390333	14400222
WBGene00002978	14621173	14631254
WBGene00002979	5023889	5041149
WBGene00002989	5716574	5725772
WBGene00002999	8109746	8119314
WBGene00003000	10248256	10255327
WBGene00003006	2706883	2717549
WBGene00003014	8407802	8410804
WBGene00003020	5807709	5815637
WBGene00003026	9334812	9342496
WBGene00003029	4126056	4129307
WBGene00003036	9618207	9619760
WBGene00003040	3713142	3721157
WBGene00003041	7248828	7251422
WBGene00003052	8762986	8765633
WBGene00003059	6253701	6254947
WBGene00003060	3565012	3600729
WBGene00003061	4372255	4373018
WBGene00003062	3144410	3147793
WBGene00003068	10879769	10894239
WBGene00003071	7614176	7634135
WBGene00003072	3935272	3953991
WBGene00003074	7457153	7460756
WBGene00003080	1701361	1701808
WBGene00003083	10588177	10590464
WBGene00003098	12454853	12455826
WBGene00003111	1644588	1651394
WBGene00003123	11912005	11912677
WBGene00003132	5123916	5127199
WBGene00003136	8125801	8130091
WBGene00003156	2318291	2321847
WBGene00003170	6724917	6728330
WBGene00003172	9441010	9450731
WBGene00003182	9095957	9100862
WBGene00003183	8294881	8296940
WBGene00003184	6564749	6565868
WBGene00003186	3005403	3013448
WBGene00003209	9132538	9135753
WBGene00003221	4996839	5003161
WBGene00003229	127297	134065
WBGene00003233	10384219	10391388
WBGene00003236	7312797	7313525
WBGene00003238	948569	957404
WBGene00003258	3233391	3255678
WBGene00003260	6172662	6172757
WBGene00003261	9372768	9372865
WBGene00003278	1738635	1738733
WBGene00003299	9379927	9380020
WBGene00003307	9332946	9333043
WBGene00003316	5197862	5197884
WBGene00003328	6162291	6162387
WBGene00003338	4684316	4684414
WBGene00003339	7887371	7887467
WBGene00003387	3035193	3047794
WBGene00003396	9895693	9900817
WBGene00003397	9965580	9970037
WBGene00003400	1305562	1328348
WBGene00003418	3694296	3697549
WBGene00003422	3449326	3462177
WBGene00003471	15001854	15005608
WBGene00003472	5795404	5801299
WBGene00003475	5134709	5137971
WBGene00003499	6356614	6358410
WBGene00003508	10080159	10085777
WBGene00003516	4229577	4236039
WBGene00003524	9886200	9888154
WBGene00003548	942257	947710
WBGene00003552	7527224	7531715
WBGene00003564	10033461	10034816
WBGene00003569	9808904	9813075
WBGene00003578	12679207	12681816
WBGene00003581	13792645	13794152
WBGene00003584	4239088	4242727
WBGene00003585	13503045	13507064
WBGene00003587	10373368	10373862
WBGene00003596	8394728	8398626
WBGene00003601	5818477	5821134
WBGene00003622	7214745	7221781
WBGene00003639	9869632	9874676
WBGene00003652	9839598	9844809
WBGene00003654	3094513	3109596
WBGene00003659	9879183	9881504
WBGene00003663	11433671	11436018
WBGene00003664	11429029	11432145
WBGene00003667	12384277	12385731
WBGene00003671	12328100	12329508
WBGene00003672	12245456	12246751
WBGene00003675	13055664	13062122
WBGene00003679	12439936	12441253
WBGene00003703	11473218	11475677
WBGene00003735	12825664	12834143
WBGene00003742	10517324	10518055
WBGene00003746	7800458	7801822
WBGene00003750	1843384	1843899
WBGene00003753	12988223	12995475
WBGene00003777	7926623	7934577
WBGene00003788	8291289	8293640
WBGene00003790	14701122	14706522
WBGene00003792	5176466	5182801
WBGene00003793	5691838	5697506
WBGene00003797	3817996	3821505
WBGene00003798	6447304	6453933
WBGene00003799	2097346	2123443
WBGene00003800	9660174	9664915
WBGene00003803	10026188	10030058
WBGene00003815	7088030	7090062
WBGene00003818	7766532	7772231
WBGene00003836	2929736	2931361
WBGene00003842	9888356	9892223
WBGene00003847	10409302	10414707
WBGene00003878	6133245	6137978
WBGene00003902	10432815	10435882
WBGene00003904	9420907	9421992
WBGene00003905	12878595	12902806
WBGene00003906	4984760	4986739
WBGene00003921	12669380	12674447
WBGene00003924	5105110	5106204
WBGene00003925	8727214	8728497
WBGene00003926	10566350	10567300
WBGene00003934	5018770	5020166
WBGene00003948	12967216	12968280
WBGene00003950	3908747	3909701
WBGene00003951	14719167	14720477
WBGene00003953	8695205	8696376
WBGene00003964	7015912	7021743
WBGene00003977	11355236	11356370
WBGene00003980	14263301	14271321
WBGene00003989	12922004	12923548
WBGene00003996	5886613	5895970
WBGene00004014	2071352	2072547
WBGene00004028	719929	731078
WBGene00004043	2755540	2758204
WBGene00004049	2907730	2924713
WBGene00004063	13004437	13023625
WBGene00004068	6295067	6297625
WBGene00004077	2823254	2830311
WBGene00004087	5358522	5365170
WBGene00004093	4185060	4189956
WBGene00004094	5158511	5162231
WBGene00004109	5902106	5904695
WBGene00004110	6791025	6797470
WBGene00004111	6773976	6780151
WBGene00004113	4564035	4565976
WBGene00004115	8771275	8777514
WBGene00004117	8416831	8425042
WBGene00004131	5372854	5384508
WBGene00004143	379071	381902
WBGene00004147	3732982	3740479
WBGene00004154	3269406	3280883
WBGene00004168	1655616	1656726
WBGene00004178	7585324	7588367
WBGene00004181	12528312	12532182
WBGene00004186	7091309	7094537
WBGene00004190	12486872	12490931
WBGene00004196	12971120	12972347
WBGene00004202	14172840	14179360
WBGene00004217	3789309	3792797
WBGene00004224	5662143	5667160
WBGene00004225	160172	166819
WBGene00004226	2587527	2595294
WBGene00004231	12834665	12843233
WBGene00004235	550696	556638
WBGene00004237	14909240	14913083
WBGene00004246	212256	215491
WBGene00004268	9308442	9310221
WBGene00004272	3682772	3684118
WBGene00004273	6457061	6458479
WBGene00004274	108670	110107
WBGene00004275	11633002	11638491
WBGene00004298	9065087	9070264
WBGene00004305	8591215	8591978
WBGene00004312	9616508	9618107
WBGene00004318	7962052	7972443
WBGene00004324	7280552	7282871
WBGene00004332	717893	719816
WBGene00004368	3778089	3781690
WBGene00004372	9565394	9574377
WBGene00004378	8083583	8095574
WBGene00004380	6009782	6011586
WBGene00004389	3539554	3546904
WBGene00004393	5776154	5788610
WBGene00004404	3217296	3222950
WBGene00004408	10567894	10569019
WBGene00004409	2069086	2069587
WBGene00004412	2875395	2876324
WBGene00004415	4645641	4646963
WBGene00004418	111038	112417
WBGene00004425	3788036	3788909
WBGene00004426	9689185	9690084
WBGene00004429	1156579	1157474
WBGene00004431	5484779	5486354
WBGene00004436	4585115	4586177
WBGene00004437	9669415	9670098
WBGene00004439	8329062	8329684
WBGene00004441	1834881	1835439
WBGene00004444	10436254	10436884
WBGene00004445	13652939	13653704
WBGene00004464	4175319	4177271
WBGene00004466	10730712	10732448
WBGene00004475	13952159	13953194
WBGene00004476	10330879	10331808
WBGene00004479	4583873	4584505
WBGene00004484	8815554	8816193
WBGene00004486	6220090	6220766
WBGene00004488	9621160	9625796
WBGene00004489	14468321	14469354
WBGene00004495	14759918	14760654
WBGene00004505	5741868	5743571
WBGene00004508	7643431	7649777
WBGene00004509	12098671	12106112
WBGene00004512	15062083	15063836
WBGene00004513	15069280	15071033
WBGene00004567	15064301	15064453
WBGene00004622	15064838	15068346
WBGene00004677	15060299	15061150
WBGene00004684	8358254	8363858
WBGene00004706	11177805	11182115
WBGene00004721	6407458	6409212
WBGene00004743	1862607	1872306
WBGene00004753	10446661	10452071
WBGene00004771	5204540	5215218
WBGene00004773	7038900	7048832
WBGene00004775	3433157	3438543
WBGene00004778	6820532	6823093
WBGene00004803	5990741	5992658
WBGene00004807	9471341	9472642
WBGene00004808	9469704	9470633
WBGene00004836	4172206	4172315
WBGene00004838	9055149	9055262
WBGene00004839	9057890	9057999
WBGene00004841	13297877	13297985
WBGene00004875	14048085	14051003
WBGene00004879	6900947	6913579
WBGene00004880	1176471	1190829
WBGene00004883	6734029	6736161
WBGene00004887	9511181	9512236
WBGene00004888	1340678	1341258
WBGene00004889	14807467	14815725
WBGene00004890	3666923	3671700
WBGene00004895	12995803	13012859
WBGene00004900	4980307	4983958
WBGene00004901	8871791	8875253
WBGene00004915	13339397	13340224
WBGene00004920	2727014	2727545
WBGene00004924	6436058	6441192
WBGene00004931	8417124	8435811
WBGene00004944	7389049	7395918
WBGene00004946	2761158	2776097
WBGene00004952	1030629	1033436
WBGene00004953	8966985	8970158
WBGene00004955	5171285	5176664
WBGene00004958	7454660	7456953
WBGene00004959	5101682	5103467
WBGene00004962	118109	120870
WBGene00004963	11582743	11586069
WBGene00004965	5330578	5332194
WBGene00004966	8224539	8226297
WBGene00004969	1446497	1465358
WBGene00004978	3467132	3478515
WBGene00005000	6249556	6250197
WBGene00005002	1016403	1017180
WBGene00005009	8103601	8109227
WBGene00005010	13438058	13450216
WBGene00005023	9947805	9953387
WBGene00005043	12688727	12690572
WBGene00005044	12692169	12693724
WBGene00005045	12694406	12695934
WBGene00005046	12696558	12698214
WBGene00005047	12699430	12701093
WBGene00005048	12701439	12702886
WBGene00005049	12703435	12704727
WBGene00005050	12705097	12706983
WBGene00005051	12686116	12688206
WBGene00005077	1566929	1580196
WBGene00005078	14322237	14328965
WBGene00005131	7294038	7295687
WBGene00005171	6312750	6314624
WBGene00005272	6297767	6299729
WBGene00005273	6302474	6304263
WBGene00005274	6300493	6302298
WBGene00005517	11182817	11186137
WBGene00005523	11695339	11697943
WBGene00005524	11699169	11701178
WBGene00005525	12140560	12142757
WBGene00005526	12134268	12136465
WBGene00005527	12151021	12154333
WBGene00005528	12148080	12150741
WBGene00005529	12144007	12146977
WBGene00005710	11289044	11291868
WBGene00005835	12720205	12722036
WBGene00005839	14826558	14827779
WBGene00005840	14828200	14829594
WBGene00005858	12122811	12125586
WBGene00006044	6102032	6102463
WBGene00006047	2562616	2563049
WBGene00006048	13219056	13219545
WBGene00006058	5006706	5007991
WBGene00006061	9486642	9488229
WBGene00006062	9501268	9505173
WBGene00006272	14852818	14854607
WBGene00006306	7360199	7371534
WBGene00006324	8792965	8797293
WBGene00006349	14777139	14787804
WBGene00006352	9754122	9757898
WBGene00006377	8663048	8664143
WBGene00006379	9980064	9984848
WBGene00006382	13861472	13887468
WBGene00006385	382648	388564
WBGene00006386	7848975	7853631
WBGene00006394	7132747	7134312
WBGene00006399	14984178	14987658
WBGene00006407	9181819	9220766
WBGene00006423	6877080	6888217
WBGene00006440	3439108	3449175
WBGene00006445	10501585	10505949
WBGene00006447	10159982	10161883
WBGene00006461	1845221	1850523
WBGene00006484	12934767	12937252
WBGene00006492	6038406	6041265
WBGene00006503	9063588	9064403
WBGene00006505	13724577	13732046
WBGene00006508	5583407	5607529
WBGene00006518	7727267	7729092
WBGene00006525	9020945	9025553
WBGene00006528	9785778	9787624
WBGene00006529	12964674	12966876
WBGene00006531	8353410	8357828
WBGene00006532	8994002	8998593
WBGene00006565	14101236	14104475
WBGene00006574	8759204	8759788
WBGene00006577	8697923	8701971
WBGene00006578	10536115	10538086
WBGene00006593	443999	461605
WBGene00006594	5546120	5561642
WBGene00006595	13292506	13297555
WBGene00006607	6554729	6558623
WBGene00006616	13899085	13913854
WBGene00006618	8768325	8771248
WBGene00006624	6585039	6587882
WBGene00006625	6640662	6642643
WBGene00006633	9970037	9973177
WBGene00006641	8928748	8931089
WBGene00006645	6616304	6618560
WBGene00006656	7269179	7273005
WBGene00006681	9463760	9468917
WBGene00006682	8808992	8811712
WBGene00006689	6269561	6271541
WBGene00006700	12741588	12749318
WBGene00006702	1698094	1701128
WBGene00006707	11911324	11912052
WBGene00006709	13581698	13585295
WBGene00006711	14822050	14823996
WBGene00006720	10562968	10564914
WBGene00006726	5607820	5608841
WBGene00006730	14790244	14790934
WBGene00006732	9310329	9312641
WBGene00006740	6812664	6814248
WBGene00006751	3798566	3805737
WBGene00006752	7422785	7454088
WBGene00006753	7122614	7128423
WBGene00006754	7376604	7383197
WBGene00006765	8897613	8901435
WBGene00006771	1721592	1740670
WBGene00006773	6742293	6745341
WBGene00006774	4897620	4900977
WBGene00006776	5679844	5691503
WBGene00006789	14855901	14863573
WBGene00006790	7899037	7903334
WBGene00006791	4675135	4679409
WBGene00006793	13629227	13633494
WBGene00006797	5141675	5149226
WBGene00006805	3999348	4031739
WBGene00006807	11592302	11602095
WBGene00006819	6761228	6767797
WBGene00006820	4035702	4090884
WBGene00006823	5992661	6003363
WBGene00006824	14381344	14384737
WBGene00006829	12508299	12513419
WBGene00006833	3824947	3826514
WBGene00006844	8460225	8463015
WBGene00006845	14872112	14875378
WBGene00006876	11747428	11792118
WBGene00006888	3150346	3162387
WBGene00006889	12728137	12729870
WBGene00006902	13269984	13272784
WBGene00006919	5609310	5610270
WBGene00006932	6028486	6033457
WBGene00006936	13547898	13559361
WBGene00006958	11924785	11929511
WBGene00006961	4665744	4671738
WBGene00006963	7159714	7160917
WBGene00006976	8529380	8531338
WBGene00006978	9847406	9850082
WBGene00006984	4790644	4792560
WBGene00007001	4247754	4249415
WBGene00007009	537122	542200
WBGene00007018	6492722	6494754
WBGene00007024	7057170	7059351
WBGene00007026	8966130	8967004
WBGene00007042	7495437	7503577
WBGene00007043	9960370	9961973
WBGene00007047	10291870	10297927
WBGene00007053	4685865	4698575
WBGene00007054	10085713	10102012
WBGene00007057	6729996	6730959
WBGene00007094	12773659	12782282
WBGene00007155	10074952	10077749
WBGene00007156	10070923	10071900
WBGene00007158	10097317	10097777
WBGene00007159	10072578	10074399
WBGene00007213	13409933	13411451
WBGene00007214	13397270	13398529
WBGene00007215	13387819	13391450
WBGene00007216	13392118	13394001
WBGene00007217	13384752	13387084
WBGene00007218	13379917	13384371
WBGene00007219	13402447	13404106
WBGene00007252	7204541	7207717
WBGene00007253	7208028	7209866
WBGene00007254	7210515	7212579
WBGene00007255	7222296	7224381
WBGene00007256	7224656	7227767
WBGene00007257	7227859	7229434
WBGene00007258	7229433	7233121
WBGene00007274	10014547	10015495
WBGene00007275	9668628	9670726
WBGene00007277	9658274	9660080
WBGene00007278	9657012	9657871
WBGene00007297	9673668	9678553
WBGene00007299	9690079	9690557
WBGene00007300	9692701	9693781
WBGene00007301	9695707	9696762
WBGene00007302	9697237	9699561
WBGene00007303	9710093	9710767
WBGene00007533	9327857	9330928
WBGene00007597	7384398	7388792
WBGene00007598	7398824	7401023
WBGene00007599	7404950	7408511
WBGene00007600	12202232	12203717
WBGene00007601	12203800	12205809
WBGene00007602	12207097	12212206
WBGene00007603	12213109	12215184
WBGene00007620	9715321	9728108
WBGene00007621	9712825	9715230
WBGene00007637	11611672	11616244
WBGene00007638	11616816	11620263
WBGene00007639	11585922	11587294
WBGene00007640	11604027	11611314
WBGene00007641	9408356	9410094
WBGene00007642	9412314	9413222
WBGene00007643	9416704	9418884
WBGene00007644	9419368	9419998
WBGene00007645	9422556	9431120
WBGene00007646	9431098	9433828
WBGene00007647	9435377	9441029
WBGene00007654	13117629	13120324
WBGene00007655	13085106	13103119
WBGene00007656	13104253	13106298
WBGene00007657	13107492	13112443
WBGene00007658	13113487	13116434
WBGene00007659	13130808	13132464
WBGene00007660	13136467	13138521
WBGene00007661	13128470	13130409
WBGene00007662	13121092	13123513
WBGene00007705	10162379	10163578
WBGene00007706	10169639	10172645
WBGene00007707	10177181	10178921
WBGene00007708	10179042	10179236
WBGene00007709	10184478	10185470
WBGene00007710	10185780	10187550
WBGene00007711	10191273	10192894
WBGene00007712	10193242	10193999
WBGene00007713	10197321	10197596
WBGene00007739	7532315	7535997
WBGene00007740	7505951	7506693
WBGene00007741	7508721	7512593
WBGene00007742	7503576	7505580
WBGene00007743	7514117	7515126
WBGene00007766	11439289	11440709
WBGene00007767	11433121	11433422
WBGene00007768	11423993	11426054
WBGene00007769	11422190	11423600
WBGene00007770	11436782	11437407
WBGene00007854	9025779	9031232
WBGene00007855	9042270	9042599
WBGene00007856	9048188	9049427
WBGene00007857	9043315	9046889
WBGene00007858	9041374	9041988
WBGene00007911	8330552	8332783
WBGene00007912	8336966	8341826
WBGene00007913	8341709	8346023
WBGene00007914	8333082	8336144
WBGene00007971	8728687	8730054
WBGene00007972	8733413	8735717
WBGene00007973	8732219	8733436
WBGene00007974	8736213	8737038
WBGene00007975	8737072	8742548
WBGene00007976	8743849	8746925
WBGene00007977	8749616	8751397
WBGene00007978	8755846	8757603
WBGene00007979	8752236	8755678
WBGene00007984	9536465	9540966
WBGene00007985	9544733	9558096
WBGene00007986	9574762	9576141
WBGene00007988	14158506	14161718
WBGene00007989	14155470	14156316
WBGene00007990	14153270	14154168
WBGene00007991	14163447	14168309
WBGene00007992	14157611	14158076
WBGene00008061	9517026	9518736
WBGene00008062	9519244	9521275
WBGene00008063	9526540	9527441
WBGene00008064	9533580	9536271
WBGene00008107	9221834	9226390
WBGene00008130	12960313	12961606
WBGene00008131	12962042	12964579
WBGene00008132	12975183	12978749
WBGene00008133	12978839	12982452
WBGene00008134	12983004	12983974
WBGene00008157	12335035	12336605
WBGene00008158	12331085	12333413
WBGene00008159	12315193	12316688
WBGene00008160	12317321	12318735
WBGene00008161	12321937	12324062
WBGene00008162	12319350	12320854
WBGene00008163	12326441	12327030
WBGene00008184	14213681	14215790
WBGene00008185	14209215	14212501
WBGene00008186	14216756	14220624
WBGene00008187	14237359	14241188
WBGene00008188	14246228	14247314
WBGene00008190	14233035	14235948
WBGene00008191	14241898	14244452
WBGene00008216	12564356	12565893
WBGene00008289	12442299	12443728
WBGene00008290	12444587	12446502
WBGene00008291	12447167	12448421
WBGene00008292	12449977	12452027
WBGene00008293	12453389	12454764
WBGene00008294	12459499	12460903
WBGene00008295	12461645	12461925
WBGene00008311	8014412	8019572
WBGene00008312	8006650	8009118
WBGene00008313	8005127	8006448
WBGene00008314	7996728	8003179
WBGene00008315	7995738	7996669
WBGene00008316	8019578	8020901
WBGene00008317	8019501	8022730
WBGene00008318	8024880	8026525
WBGene00008381	8463356	8469309
WBGene00008382	8474886	8476282
WBGene00008383	8481152	8482538
WBGene00008384	8482759	8485694
WBGene00008385	8487618	8490938
WBGene00008386	8491291	8495855
WBGene00008387	8485876	8487043
WBGene00008397	7784498	7785624
WBGene00008398	7813761	7815042
WBGene00008399	7814972	7819410
WBGene00008400	7820831	7826433
WBGene00008401	7786205	7793539
WBGene00008411	7567775	7571250
WBGene00008412	7574195	7578564
WBGene00008413	7578512	7580833
WBGene00008414	7580944	7581628
WBGene00008415	7582106	7583349
WBGene00008417	7588580	7590565
WBGene00008418	7591288	7595198
WBGene00008419	7596507	7602203
