Gene stable ID	UniParc ID
ENSG00000282323	UPI00015B7BD3
ENSG00000137815	UPI0000E23C14
ENSG00000282148	UPI000011E0F1
ENSG00000137815	UPI00022F8550
ENSG00000171877	UPI00001A9475
ENSG00000231268	UPI0002151179
ENSG00000171877	UPI0001611366
ENSG00000231268	UPI0004E4CB89
ENSG00000231268	UPI000215117C
ENSG00000171877	UPI000066D939
ENSG00000171877	UPI0000EE4F9C
ENSG00000237703	UPI000000D736
ENSG00000237703	UPI000013D095
ENSG00000282724	UPI000173A6A7
ENSG00000282204	UPI0000115AB8
ENSG00000171877	UPI0001611365
ENSG00000231268	UPI000153D806
ENSG00000231268	UPI000215117A
ENSG00000171877	UPI00001FE390
ENSG00000282674	UPI00015B7BEB
ENSG00000171877	UPI00033351AA
ENSG00000171877	UPI0001881AB0
ENSG00000171877	UPI000044B610
ENSG00000282640	
ENSG00000171877	UPI0000D4A954
ENSG00000282618	UPI0003F4829E
ENSG00000161082	UPI00000705EC
ENSG00000161082	UPI0001565437
ENSG00000139505	UPI00001FC8D0
ENSG00000161082	UPI00017A6ED4
ENSG00000161082	UPI0002840BD7
ENSG00000276856	UPI0005C12198
ENSG00000276856	UPI0005C12282
ENSG00000276856	UPI0004E4CD1D
ENSG00000276856	UPI0005C121A3
ENSG00000286169	UPI0001D3B0CF
ENSG00000275080	UPI0000DA4D34
ENSG00000276856	UPI00022F8564
ENSG00000276856	UPI0005C12268
ENSG00000276856	UPI0005C1221E
ENSG00000137177	UPI000006E318
ENSG00000276856	UPI0000E59B70
ENSG00000137177	UPI0001D3B4F8
ENSG00000151876	UPI00004806E4
ENSG00000137177	UPI0000E20DA3
ENSG00000137177	UPI00000717BE
ENSG00000137177	UPI0000E20DA4
ENSG00000286169	UPI0001D3B0D7
ENSG00000137177	UPI0002466C58
ENSG00000119318	UPI0000458838
ENSG00000137177	UPI000059D897
ENSG00000286169	UPI00004572BE
ENSG00000137177	UPI0001D3B48C
ENSG00000286169	UPI0001D3B0D8
ENSG00000151876	UPI000013E392
ENSG00000137177	UPI000020D5AC
ENSG00000119318	UPI0000132F6C
ENSG00000211660	UPI000173A2CA
ENSG00000119318	UPI0000458839
ENSG00000119318	UPI000059DA57
ENSG00000148229	UPI0000001BE2
ENSG00000151876	UPI0000062307
ENSG00000119318	UPI0000EE5FDF
ENSG00000211661	UPI000173A2CB
ENSG00000148229	UPI0000001BE2
ENSG00000151876	UPI0001D3B1EB
ENSG00000172817	UPI0000128218
ENSG00000151876	UPI000020CA1D
ENSG00000211662	UPI000173A2CC
ENSG00000211663	UPI000173A2CD
ENSG00000127528	UPI000012DED3
ENSG00000127528	UPI0000578B58
ENSG00000166912	UPI00001FE130
ENSG00000073578	UPI0000D4E358
ENSG00000102468	UPI000000126E
ENSG00000102468	UPI0004620A74
ENSG00000102468	UPI000000126E
ENSG00000102468	UPI0000E01052
ENSG00000184979	UPI000003772C
ENSG00000157653	UPI00000725EE
ENSG00000157653	UPI00000725EE
ENSG00000282396	
ENSG00000282711	UPI0003F48171
ENSG00000281984	
ENSG00000166912	UPI000153CDE0
ENSG00000137825	UPI0000E59BDE
ENSG00000166912	UPI000246713E
ENSG00000073578	UPI0001D3B0BB
ENSG00000137825	UPI0000049A1A
ENSG00000166912	UPI000246713F
ENSG00000073578	UPI0000000C2C
ENSG00000166912	UPI000006F5E1
ENSG00000073578	UPI0001D3B0BC
ENSG00000166912	UPI0002467140
ENSG00000166912	UPI0000229B6E
ENSG00000073578	UPI0001D3B0BD
ENSG00000180011	UPI00000350AF
ENSG00000073578	UPI0001D3B0BE
ENSG00000088756	UPI0001E5E846
ENSG00000180011	UPI00017A8510
ENSG00000167196	UPI0000049FDF
ENSG00000088756	UPI000268B155
ENSG00000198690	UPI000000DABD
ENSG00000180011	UPI0003F47EFE
ENSG00000073578	UPI00001AF666
ENSG00000088756	UPI000268B39C
ENSG00000167196	UPI000246738B
ENSG00000180011	UPI000268B411
ENSG00000081138	UPI000013D269
ENSG00000167196	UPI000006DB13
ENSG00000088756	UPI0001F77AA4
ENSG00000282487	UPI00015B7BF2
ENSG00000063438	UPI0001E8F680
ENSG00000088756	UPI0000201994
ENSG00000081138	UPI000059D5CB
ENSG00000282592	UPI00015B7BD0
ENSG00000167196	UPI00021D6333
ENSG00000282274	
ENSG00000081138	UPI000013D269
ENSG00000167196	UPI000246738C
ENSG00000063438	UPI0001E8F681
ENSG00000088756	UPI000268B39D
ENSG00000167196	UPI000246738D
ENSG00000063438	
ENSG00000282346	UPI00015B7BE5
ENSG00000063438	UPI000020BE87
ENSG00000167196	UPI000246738E
ENSG00000282232	
ENSG00000088756	UPI00004CEC5C
ENSG00000063438	UPI0001E8F682
ENSG00000198690	UPI000006D713
ENSG00000167196	UPI00004892EC
ENSG00000261972	UPI00025A2FA3
ENSG00000088756	UPI0001F77AA5
ENSG00000198690	UPI000000DABD
ENSG00000063438	UPI0001D3B0D9
ENSG00000198690	UPI000000DABD
ENSG00000088756	UPI000268B39E
ENSG00000124813	UPI0000470A32
ENSG00000063438	UPI0001D3B072
ENSG00000088756	UPI000268B39E
ENSG00000274563	UPI0001DC11DA
ENSG00000088756	UPI00002335F5
ENSG00000198690	UPI000246713C
ENSG00000088756	UPI000268B39F
ENSG00000198690	UPI000246713D
ENSG00000171133	UPI000003FE16
ENSG00000282007	UPI0003F47EED
ENSG00000286001	
ENSG00000171133	UPI000004B1D6
ENSG00000088756	UPI00004CEC5C
ENSG00000186687	UPI000013FEB8
ENSG00000186687	UPI000020C52A
ENSG00000186687	UPI0001D3B6D4
ENSG00000236399	UPI0000EE06FC
ENSG00000236399	UPI0000EE06FD
ENSG00000169567	UPI000004F5CC
ENSG00000169567	UPI000020C533
ENSG00000169567	UPI0001D3B6CF
ENSG00000236399	UPI0000EE06FC
ENSG00000169567	UPI000020C52E
ENSG00000169567	UPI000020C52E
ENSG00000169567	UPI000020C533
ENSG00000169567	UPI0001D3B6D0
ENSG00000169567	UPI000020C52E
ENSG00000169567	UPI0001E8F459
ENSG00000137434	UPI0001D3B482
ENSG00000137434	UPI0000199A49
ENSG00000137434	UPI000046FF71
ENSG00000137434	UPI000020D4FE
ENSG00000249915	UPI00001313D9
ENSG00000137434	UPI0000199A49
ENSG00000065325	UPI000268B114
ENSG00000124813	UPI000013532F
ENSG00000249915	UPI0001D3B0CD
ENSG00000124813	UPI000013532F
ENSG00000274958	UPI000006F88A
ENSG00000274958	UPI000006D583
ENSG00000249915	UPI000018CEB3
ENSG00000249915	UPI00005EE22B
ENSG00000274958	UPI000006F88A
ENSG00000124813	UPI000013532F
ENSG00000065325	UPI0000050469
ENSG00000124813	UPI000002B2F7
ENSG00000274958	UPI0000EE333F
ENSG00000249915	UPI0001D3B0CE
ENSG00000124813	UPI00025A2BEB
ENSG00000065325	UPI00024D12A5
ENSG00000249915	UPI0001D3B0D0
ENSG00000124813	UPI00025A2BEC
ENSG00000065325	UPI000268B115
ENSG00000124813	UPI000D18FCC4
ENSG00000124813	UPI000002B2F6
ENSG00000124813	UPI0000D6146B
ENSG00000124813	UPI000002B2F7
ENSG00000249915	UPI0000EE80E1
ENSG00000274958	UPI00021CF3CB
ENSG00000249915	UPI000020BE8B
ENSG00000169752	UPI0000038134
ENSG00000274958	UPI00021CF3CD
ENSG00000249915	UPI0001D3B0CE
ENSG00000274958	UPI00021CF3CE
ENSG00000274958	UPI00021CF3CE
ENSG00000211664	UPI0000113C46
ENSG00000270961	UPI0003F482FF
ENSG00000211665	UPI0009008491
ENSG00000273326	UPI0000038B0F
ENSG00000271317	
ENSG00000282520	
ENSG00000211666	UPI000173A2CE
ENSG00000169752	UPI0000D4EF80
ENSG00000272712	UPI0000038B10
ENSG00000211667	UPI0009008497
ENSG00000282599	
ENSG00000196284	UPI000002B469
ENSG00000196284	UPI000018CE7C
ENSG00000169752	UPI00001A9D9A
ENSG00000196284	UPI000002B469
ENSG00000273086	UPI0000038B11
ENSG00000196284	UPI00004589A9
ENSG00000169752	UPI0000038134
ENSG00000196284	UPI00017A865B
ENSG00000169752	UPI00001A9D9A
ENSG00000277924	UPI000012DB1C
ENSG00000166979	UPI00000373F4
ENSG00000263141	UPI0004620D09
ENSG00000169752	UPI0000D4EF80
ENSG00000169752	UPI00001A9D9A
ENSG00000263141	UPI0004620D09
ENSG00000169752	UPI00001A9D9A
ENSG00000226792	UPI0007E52AFC
ENSG00000169752	UPI00003D80BA
ENSG00000261972	UPI0002064F28
ENSG00000271336	UPI00015B7BD0
ENSG00000169752	UPI000246738F
ENSG00000121743	UPI0000052BDE
ENSG00000169752	UPI00001A9D9A
ENSG00000261972	UPI00001AEB62
ENSG00000169752	UPI00001A9D9A
ENSG00000261972	UPI00001AF243
ENSG00000166979	UPI0000169D83
ENSG00000261972	UPI0002064F27
ENSG00000166979	UPI0000169D83
ENSG00000166979	UPI000048B481
ENSG00000261972	UPI00025A2BE0
ENSG00000166979	UPI0001611140
ENSG00000261972	UPI00025A2BE1
ENSG00000166979	UPI0000206D87
ENSG00000276701	UPI000005273C
ENSG00000261972	UPI000204A94D
ENSG00000166979	UPI000155D5A5
ENSG00000234602	UPI0001D3B2AD
ENSG00000281287	UPI00033350A2
ENSG00000234602	UPI000020C760
ENSG00000273991	UPI000013FD0F
ENSG00000160284	UPI0000037D43
ENSG00000276175	UPI0000116F1D
ENSG00000160284	UPI000013E06B
ENSG00000273991	UPI0000034C04
ENSG00000276175	UPI00053BD599
ENSG00000276175	UPI000173A196
ENSG00000273991	UPI0000202BB5
ENSG00000228849	UPI000000D745
ENSG00000261150	UPI0002065B93
ENSG00000261150	UPI0004E4C867
ENSG00000276175	UPI0001AE644E
ENSG00000100299	UPI0003B928F6
ENSG00000273991	UPI00015F3DF7
ENSG00000262938	UPI000004E651
ENSG00000113361	UPI0001D3B100
ENSG00000262938	UPI000004E651
ENSG00000262938	UPI0004620DD6
ENSG00000262938	UPI000004E651
ENSG00000113361	UPI0000126D9B
ENSG00000273991	UPI0001881401
ENSG00000100298	UPI00003587AD
ENSG00000100298	UPI000188E67A
ENSG00000100298	UPI00001B31E9
ENSG00000100298	UPI0004620E51
ENSG00000100298	UPI000188E67A
ENSG00000100298	UPI0004620E51
ENSG00000164078	UPI000159688A
ENSG00000164078	UPI0001D3BAEE
ENSG00000103855	UPI0003F47B0B
ENSG00000113761	UPI0001914E9F
ENSG00000164078	UPI00022B8059
ENSG00000164078	UPI0004620B7D
ENSG00000164078	UPI0004620B16
ENSG00000125255	UPI000013CB9B
ENSG00000182208	UPI00000373CD
ENSG00000165474	UPI000006D6A3
ENSG00000186106	UPI000018CE82
ENSG00000277586	UPI00000747CF
ENSG00000165474	UPI000006D6A3
ENSG00000182208	UPI0001CA4E34
ENSG00000186106	UPI0000160D0B
ENSG00000165474	UPI000006D6A3
ENSG00000164078	UPI0004E4CAD7
ENSG00000186106	UPI0000160D0B
ENSG00000113407	UPI00001BD8D0
ENSG00000164078	UPI00024A5410
ENSG00000136574	UPI0000210220
ENSG00000113407	UPI0001D3B1A1
ENSG00000164078	UPI0004E4CAC0
ENSG00000136574	UPI000173A8B7
ENSG00000186106	UPI0000160D0B
ENSG00000136574	UPI0002B831DE
ENSG00000236925	UPI000000D743
ENSG00000113407	UPI00001BD8D0
ENSG00000136574	UPI0001F7850F
ENSG00000186106	UPI0001E8F3F5
ENSG00000186106	UPI0001E8F3F3
ENSG00000186106	UPI00004EFD4D
ENSG00000282752	UPI0006454730
ENSG00000282752	UPI0006454730
ENSG00000186106	UPI0003F48342
ENSG00000282752	UPI000645477E
ENSG00000186106	UPI0001E8F3F6
ENSG00000282752	UPI0002840E72
ENSG00000113761	UPI00000704A0
ENSG00000277586	UPI0007208EBF
ENSG00000113761	UPI000020C1FD
ENSG00000113761	UPI0001914D95
ENSG00000277586	UPI0002065712
ENSG00000113761	UPI0001914E3E
ENSG00000113761	UPI0001D3BAD6
ENSG00000136574	UPI00001B3DC4
ENSG00000113761	UPI000020C200
ENSG00000136574	UPI0000D49F13
ENSG00000113761	UPI000035E7F1
ENSG00000136574	UPI0000210221
ENSG00000136574	UPI000206570C
ENSG00000103855	UPI0000034C25
ENSG00000164077	UPI0000070884
ENSG00000164077	UPI0000070884
ENSG00000103855	UPI000006FB13
ENSG00000152669	UPI0000071CCB
ENSG00000276634	UPI000012DB22
ENSG00000152669	UPI000020C764
ENSG00000113407	UPI0001D3B1A2
ENSG00000262304	UPI0000070BB8
ENSG00000164077	UPI0000EE2989
ENSG00000113407	UPI00017A6D60
ENSG00000160256	UPI00001286B9
ENSG00000172171	UPI00000708D5
ENSG00000113407	UPI0001D3B1A3
ENSG00000164077	UPI0000EE2988
ENSG00000197417	UPI0000070BB8
ENSG00000157500	UPI00000712DA
ENSG00000113407	UPI0001D3B1A4
ENSG00000164077	UPI000198CA73
ENSG00000160256	UPI000002A78B
ENSG00000113407	UPI0001D3B1A5
ENSG00000172171	UPI0000E59EFE
ENSG00000103855	UPI00022F875A
ENSG00000160256	UPI0000E5A40F
ENSG00000113407	UPI0001D3B1A6
ENSG00000103855	UPI0002467414
ENSG00000172171	UPI000178DE4C
ENSG00000113407	UPI0001D3B1A7
ENSG00000103855	UPI0000680ACD
ENSG00000157500	UPI00000712DA
ENSG00000103855	UPI0002467415
ENSG00000103855	UPI00022F875B
ENSG00000113407	UPI0001D3B1A6
ENSG00000113407	UPI0001D3B1A2
ENSG00000103855	UPI00022F875C
ENSG00000103855	UPI0003F47B0B
ENSG00000103855	UPI00022F875B
ENSG00000103855	UPI00022F875E
ENSG00000100307	UPI00001271FE
ENSG00000198062	UPI0000E5A425
ENSG00000211668	UPI000173A2CF
ENSG00000103855	UPI00000480F2
ENSG00000157500	UPI0001B79498
ENSG00000103855	UPI00022F875F
ENSG00000100307	UPI0000579248
ENSG00000198062	UPI000204A808
ENSG00000157500	UPI0003F47E3C
ENSG00000100307	UPI00016110B3
ENSG00000198062	UPI00015DF78F
ENSG00000103855	UPI00022F8760
ENSG00000211669	UPI0000F30345
ENSG00000103855	UPI00000480F2
ENSG00000228883	UPI0000E5AD0F
ENSG00000174156	UPI00004A3A19
ENSG00000274926	UPI00001195F7
ENSG00000169953	UPI0000073AA9
ENSG00000228883	UPI000059D8A1
ENSG00000239388	UPI0000E5A753
ENSG00000239388	UPI00015E08B2
ENSG00000169953	UPI00001B5D22
ENSG00000174156	UPI000012BCA7
ENSG00000174156	UPI0003B92889
ENSG00000169953	UPI000012CCF1
ENSG00000227171	UPI000000D735
ENSG00000227171	UPI00004573F2
ENSG00000167202	UPI00022F87E7
ENSG00000179981	UPI000021BFB5
ENSG00000031823	UPI0000366CF8
ENSG00000171136	UPI0000042374
ENSG00000179981	UPI0000201D5A
ENSG00000179981	UPI0003F4814C
ENSG00000171136	UPI0002840B17
ENSG00000179981	UPI00022F8477
ENSG00000031823	UPI000006F919
ENSG00000176102	UPI0001F784B8
ENSG00000276203	UPI000013CE65
ENSG00000100280	UPI0000124FE1
ENSG00000276203	UPI0004620ABF
ENSG00000133706	UPI0000037316
ENSG00000234058	UPI000000D734
ENSG00000073417	UPI0000127C00
ENSG00000206026	UPI00001B64CE
ENSG00000100280	UPI000000DB6A
ENSG00000073417	UPI00001A8559
ENSG00000206026	UPI000153D895
ENSG00000100280	UPI00006E250D
ENSG00000133706	UPI00017A7093
ENSG00000206026	UPI0000D4A319
ENSG00000100280	UPI0000D4EE7F
ENSG00000073417	UPI000002A6E7
ENSG00000100280	UPI0000E5A43C
ENSG00000234058	UPI0000470311
ENSG00000234058	UPI0000470311
ENSG00000160145	UPI0000E5A8DC
ENSG00000234058	UPI0000470311
ENSG00000234058	UPI0000470311
ENSG00000100280	UPI00006E250D
ENSG00000100280	UPI0000124FE1
ENSG00000234058	UPI0000470311
ENSG00000261984	UPI0000038B16
ENSG00000100280	UPI00006E250D
ENSG00000229381	UPI000000D736
ENSG00000176102	UPI000006ECC3
ENSG00000176102	UPI000047C79C
ENSG00000263028	UPI000000D7CF
ENSG00000171189	UPI0000E5A39C
ENSG00000275744	UPI0000001BF8
ENSG00000171189	UPI000000107B
ENSG00000272805	UPI0000038B12
ENSG00000171189	UPI0000E5A39B
ENSG00000229381	UPI000013D095
ENSG00000171189	UPI0000E5A39A
ENSG00000262525	UPI000000D821
ENSG00000176102	UPI00000527FD
ENSG00000171189	UPI0000E5A39D
ENSG00000273431	UPI000000D81E
ENSG00000176102	UPI00005B2F04
ENSG00000167202	UPI0000E02247
ENSG00000171189	UPI000012B612
ENSG00000176102	UPI0001F784BA
ENSG00000171189	UPI0000E2583B
ENSG00000067248	UPI00001AE72C
ENSG00000167202	UPI0001627802
ENSG00000176102	UPI0001F784BB
ENSG00000100299	UPI000013C6C4
ENSG00000198258	UPI000002739C
ENSG00000167202	UPI0001881AB6
ENSG00000198258	UPI000002739C
ENSG00000100299	UPI000013C6C4
ENSG00000067248	UPI0001D3B2BF
ENSG00000198258	UPI000002739C
ENSG00000133706	UPI0004E4CCC5
ENSG00000133027	UPI000013FE69
ENSG00000198258	UPI0002840A8E
ENSG00000105650	UPI0000127BF8
ENSG00000067248	UPI0004E4CA5E
ENSG00000100299	UPI000013C6C4
ENSG00000133027	UPI000013FE69
ENSG00000133706	UPI000067C9E5
ENSG00000263247	UPI00004062A0
ENSG00000100299	UPI000150BB13
ENSG00000156273	UPI0001611128
ENSG00000100299	UPI000013C6C4
ENSG00000156273	UPI0001611128
ENSG00000133816	UPI0001F7845A
ENSG00000156273	UPI0001611128
ENSG00000105650	UPI000002A6DA
ENSG00000133816	UPI0001F7845B
ENSG00000031823	UPI00028409CB
ENSG00000263247	UPI0000072AC7
ENSG00000156273	UPI0001611128
ENSG00000173261	UPI000015FDFA
ENSG00000275744	UPI000013CED4
ENSG00000173261	UPI0001D3B968
ENSG00000031823	UPI00019152F4
ENSG00000114854	UPI00000012E6
ENSG00000275744	UPI0001611085
ENSG00000150510	UPI00001FCDF1
ENSG00000114854	UPI0000E5A707
ENSG00000031823	UPI00002031A7
ENSG00000031823	UPI00028409CC
ENSG00000133027	UPI0000E59E5D
ENSG00000176148	UPI0001F7844D
ENSG00000150510	UPI000013DBFA
ENSG00000274914	UPI0000034C06
ENSG00000133027	UPI000013FE53
ENSG00000150510	UPI0000140E33
ENSG00000263247	UPI000204A981
ENSG00000274914	UPI0000034C07
ENSG00000274914	UPI0000034C09
ENSG00000274914	UPI0000034C08
ENSG00000133027	UPI0001AE6642
ENSG00000133027	UPI000268B05A
ENSG00000105650	UPI000002A6DB
ENSG00000133816	UPI000000DA92
ENSG00000105650	UPI0000127BF8
ENSG00000156273	UPI000012673F
ENSG00000173597	UPI000006FDD9
ENSG00000157087	UPI000002A445
ENSG00000105650	UPI0001915084
ENSG00000156273	UPI000012673F
ENSG00000133027	UPI000268B05C
ENSG00000173597	UPI0001D3B423
ENSG00000211837	UPI00021CF130
ENSG00000156273	UPI0001611128
ENSG00000263247	UPI0000141771
ENSG00000157087	UPI000002A445
ENSG00000173597	UPI0001D3B424
ENSG00000105650	UPI00038BAF4C
ENSG00000176148	UPI0000071A1F
ENSG00000211838	UPI00021CF131
ENSG00000156273	UPI0003F47B6A
ENSG00000273457	UPI0000038B15
ENSG00000275545	UPI0000161B98
ENSG00000156273	UPI0000E5A398
ENSG00000105650	UPI0003B9292A
ENSG00000156273	UPI0000E5A397
ENSG00000176148	UPI00001F9F64
ENSG00000157087	UPI000002A443
ENSG00000105650	UPI0003B92796
ENSG00000275545	UPI000007404E
ENSG00000156273	UPI0000E5A396
ENSG00000105650	UPI0003B9291D
ENSG00000156273	UPI0002A47602
ENSG00000176148	UPI0001F7844E
ENSG00000105650	UPI0002A472A4
ENSG00000157087	UPI000D1955CC
ENSG00000176148	UPI0002B83329
ENSG00000157087	UPI000D1901CE
ENSG00000133816	UPI000036BFBB
ENSG00000176148	UPI0001F7844F
ENSG00000157087	UPI000D190759
ENSG00000133816	UPI0001F7845B
ENSG00000176148	UPI0000071A1F
ENSG00000133816	UPI000191515A
ENSG00000157087	UPI0001FDB7F8
ENSG00000105650	UPI0000146BA6
ENSG00000176148	UPI0001F78450
ENSG00000133816	UPI0001F7845C
ENSG00000176148	UPI0000071A1F
ENSG00000133816	UPI0001F7845D
ENSG00000133816	UPI0003F48049
ENSG00000284797	UPI000D18DBD8
ENSG00000160145	UPI0000EE2103
ENSG00000285816	UPI000E6E84DD
ENSG00000272803	UPI000013CF3F
ENSG00000031823	UPI00028409CD
ENSG00000160145	UPI000012C095
ENSG00000073417	UPI0000408E08
ENSG00000227565	UPI000020D8E4
ENSG00000272803	UPI000013CF3F
ENSG00000285188	UPI0000127BF8
ENSG00000160145	UPI0000EE2104
ENSG00000073417	UPI0001F77CAE
ENSG00000031823	UPI00028409CE
ENSG00000263097	UPI000000D820
ENSG00000131015	UPI0000048F60
ENSG00000031823	UPI0003F482FD
ENSG00000073417	UPI00022F86DC
ENSG00000244754	UPI00002295BA
ENSG00000262612	UPI000000D7D2
ENSG00000073417	UPI00022F86DD
ENSG00000262111	UPI000006202F
ENSG00000204564	UPI0001B79368
ENSG00000273092	UPI000000D822
ENSG00000111981	UPI000006D47B
ENSG00000071991	UPI0000048ECF
ENSG00000244754	UPI00015B3BBD
ENSG00000275744	UPI0001611069
ENSG00000244754	UPI0001D3B04F
ENSG00000071991	UPI000268B3CB
ENSG00000031823	UPI00028409D1
ENSG00000031823	UPI000041F645
ENSG00000227565	UPI000000DD49
ENSG00000071991	UPI0002065888
ENSG00000031823	UPI00028409D2
ENSG00000206190	UPI0000124FAB
ENSG00000031823	UPI00028409D3
ENSG00000244754	UPI000006DCC5
ENSG00000275744	UPI0001611088
ENSG00000227565	UPI00004702D5
ENSG00000154767	UPI000196375E
ENSG00000031823	UPI00028409D4
ENSG00000275744	UPI0000E06D09
ENSG00000073417	UPI0000127C00
ENSG00000204564	UPI0001B79369
ENSG00000275744	UPI0001611087
ENSG00000206190	UPI00021CEFBD
ENSG00000031823	UPI00028409D5
ENSG00000172936	UPI000012FAD4
ENSG00000275744	UPI0001611068
ENSG00000206190	UPI00021CEFBE
ENSG00000157087	UPI000002A445
ENSG00000031823	UPI0003F47CAA
ENSG00000172936	UPI00003E4796
ENSG00000244754	UPI00002295BA
ENSG00000206190	UPI00001FDFC9
ENSG00000157087	UPI0000E08117
ENSG00000071991	UPI000268B3CC
ENSG00000071991	UPI0004620DE1
ENSG00000206190	UPI00001FDFC9
ENSG00000157087	UPI00001261EF
ENSG00000244754	UPI00015C73C2
ENSG00000275744	UPI000037659C
ENSG00000157087	UPI0007DC6FAF
ENSG00000187650	UPI000016103D
ENSG00000172936	UPI000E5DA680
ENSG00000157087	UPI000002A443
ENSG00000166387	UPI0001F78864
ENSG00000166387	UPI0001F78864
ENSG00000164047	UPI0000000A67
ENSG00000164047	UPI00005A8CD1
ENSG00000198792	UPI00001A92F8
ENSG00000154767	UPI00004120D6
ENSG00000274609	UPI000011D225
ENSG00000275744	UPI0003AB495C
ENSG00000142623	UPI000013D8A2
ENSG00000154767	UPI0001D3B705
ENSG00000184378	UPI000004EE04
ENSG00000014138	UPI000007375F
ENSG00000268279	UPI0003B92895
ENSG00000167113	UPI000013E660
ENSG00000211839	UPI00021CF132
ENSG00000204564	UPI000047034C
ENSG00000160145	UPI0000E5A8DE
ENSG00000167113	UPI0003B928E0
ENSG00000157087	UPI00001261EF
ENSG00000167113	UPI0003B927C6
ENSG00000211840	UPI00021CF133
ENSG00000133816	UPI000D193EE2
ENSG00000172936	UPI0003F057AC
ENSG00000204564	UPI0001B7936A
ENSG00000167113	UPI000046FF83
ENSG00000160145	UPI0000D4DA29
ENSG00000204564	UPI0000414C3A
ENSG00000172936	UPI0003F05720
ENSG00000204564	UPI0000DBE799
