Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Caenorhabditis elegans gene stable ID	Caenorhabditis elegans chromosome/scaffold name	Caenorhabditis elegans chromosome/scaffold start (bp)	Caenorhabditis elegans chromosome/scaffold end (bp)	%id. target Caenorhabditis elegans gene identical to query gene	%id. query gene identical to target Caenorhabditis elegans gene	Caenorhabditis elegans orthology confidence [0 low, 1 high]
ENSG00000134202	1	109733932	109741038	WBGene00001787	II	15171163	15171912	21.7778	23.445	
ENSG00000134202	1	109733932	109741038	WBGene00001760	II	13616685	13618061	21.7778	23.445	
ENSG00000134202	1	109733932	109741038	WBGene00001762	II	13614788	13616100	21.3333	22.8571	
ENSG00000134202	1	109733932	109741038	WBGene00001765	II	13628017	13628774	13.3333	17.2414	
ENSG00000134202	1	109733932	109741038	WBGene00001767	II	13625544	13627141	20.8889	22.7053	
ENSG00000134202	1	109733932	109741038	WBGene00001766	II	13629799	13630887	19.1111	21.8274	
ENSG00000134202	1	109733932	109741038	WBGene00001764	II	13622967	13624502	23.1111	25	
ENSG00000134202	1	109733932	109741038	WBGene00001772	II	13610443	13611349	22.6667	24.4019	
ENSG00000134202	1	109733932	109741038	WBGene00001752	IV	10142135	10143099	20.8889	22.7053	
ENSG00000134202	1	109733932	109741038	WBGene00001759	X	3632367	3633747	16.4444	18.2266	
ENSG00000134202	1	109733932	109741038	WBGene00021127	I	2851963	2853903	22.2222	23.5849	
ENSG00000134202	1	109733932	109741038	WBGene00001753	II	10950350	10951604	20.8889	22.7053	
ENSG00000134202	1	109733932	109741038	WBGene00001786	V	15915216	15916079	19.1111	20.5742	
ENSG00000134202	1	109733932	109741038	WBGene00001755	II	4882062	4883358	22.2222	24.2718	
ENSG00000134202	1	109733932	109741038	WBGene00001756	II	4883749	4884602	23.5556	25.7282	
ENSG00000134202	1	109733932	109741038	WBGene00001757	II	4891573	4893573	16.8889	18.4466	
ENSG00000134202	1	109733932	109741038	WBGene00001750	IV	10140330	10141513	20.8889	25	
ENSG00000134202	1	109733932	109741038	WBGene00001754	II	4879885	4881105	21.3333	23.301	
ENSG00000134202	1	109733932	109741038	WBGene00001761	II	9231457	9232340	20	21.6346	
ENSG00000134202	1	109733932	109741038	WBGene00001781	V	3467453	3468545	19.1111	20.1878	
ENSG00000198758	1	109750080	109764027	WBGene00001330	IV	14879490	14900652	26.5993	16.7728	0
ENSG00000116991	1	232397965	232561558	WBGene00018734	II	1197374	1230782	10.2207	21.7016	0
ENSG00000168765	1	109656081	109674836	WBGene00001782	II	15179971	15183232	22.4771	22.4771	
ENSG00000168765	1	109656081	109674836	WBGene00001770	V	16231032	16232317	21.5596	21.5596	
ENSG00000168765	1	109656081	109674836	WBGene00001783	II	15183801	15185385	22.4771	22.4771	
ENSG00000168765	1	109656081	109674836	WBGene00001769	V	1730759	1732000	19.7248	18.6147	
ENSG00000168765	1	109656081	109674836	WBGene00001751	IV	10139380	10140285	19.7248	20.7729	
ENSG00000168765	1	109656081	109674836	WBGene00021566	V	2556174	2557415	13.7615	23.622	
ENSG00000168765	1	109656081	109674836	WBGene00018912	V	2447895	2449136	13.7615	23.622	
ENSG00000168765	1	109656081	109674836	WBGene00018911	V	2453414	2456147	11.0092	22.8571	
ENSG00000168765	1	109656081	109674836	WBGene00001758	V	2561690	2564701	24.3119	25.2381	
ENSG00000168765	1	109656081	109674836	WBGene00001789	V	7398390	7399302	23.3945	24.2857	
ENSG00000168765	1	109656081	109674836	WBGene00001780	II	15177372	15178594	20.6422	21.5311	
ENSG00000168765	1	109656081	109674836	WBGene00001779	II	15174271	15174965	19.7248	20.4762	
ENSG00000168765	1	109656081	109674836	WBGene00001785	V	1921621	1922381	21.1009	22.0096	
ENSG00000168765	1	109656081	109674836	WBGene00001774	II	15163808	15164646	20.6422	21.5311	
ENSG00000168765	1	109656081	109674836	WBGene00001775	II	15164890	15165731	19.7248	20.5742	
ENSG00000168765	1	109656081	109674836	WBGene00001777	II	15168538	15169860	20.1835	21.0526	
ENSG00000168765	1	109656081	109674836	WBGene00001776	II	15166194	15167406	22.4771	23.445	
ENSG00000168765	1	109656081	109674836	WBGene00001787	II	15171163	15171912	20.6422	21.5311	
ENSG00000168765	1	109656081	109674836	WBGene00001760	II	13616685	13618061	22.0183	22.9665	
ENSG00000168765	1	109656081	109674836	WBGene00001762	II	13614788	13616100	22.4771	23.3333	
ENSG00000168765	1	109656081	109674836	WBGene00001765	II	13628017	13628774	13.7615	17.2414	
ENSG00000168765	1	109656081	109674836	WBGene00001767	II	13625544	13627141	20.6422	21.7391	
ENSG00000168765	1	109656081	109674836	WBGene00001766	II	13629799	13630887	20.1835	22.335	
ENSG00000168765	1	109656081	109674836	WBGene00001764	II	13622967	13624502	23.3945	24.5192	
ENSG00000168765	1	109656081	109674836	WBGene00001772	II	13610443	13611349	21.5596	22.488	
ENSG00000168765	1	109656081	109674836	WBGene00001752	IV	10142135	10143099	21.1009	22.2222	
ENSG00000168765	1	109656081	109674836	WBGene00001759	X	3632367	3633747	19.2661	20.6897	
ENSG00000168765	1	109656081	109674836	WBGene00021127	I	2851963	2853903	24.3119	25	
ENSG00000168765	1	109656081	109674836	WBGene00001753	II	10950350	10951604	22.0183	23.1884	
ENSG00000168765	1	109656081	109674836	WBGene00001786	V	15915216	15916079	19.7248	20.5742	
ENSG00000168765	1	109656081	109674836	WBGene00001755	II	4882062	4883358	22.0183	23.301	
ENSG00000168765	1	109656081	109674836	WBGene00001756	II	4883749	4884602	21.5596	22.8155	
ENSG00000168765	1	109656081	109674836	WBGene00001757	II	4891573	4893573	17.8899	18.932	
ENSG00000168765	1	109656081	109674836	WBGene00001750	IV	10140330	10141513	21.5596	25	
ENSG00000168765	1	109656081	109674836	WBGene00001754	II	4879885	4881105	19.7248	20.8738	
ENSG00000168765	1	109656081	109674836	WBGene00001761	II	9231457	9232340	19.7248	20.6731	
ENSG00000168765	1	109656081	109674836	WBGene00001781	V	3467453	3468545	20.1835	20.6573	
ENSG00000076321	1	173714941	173786702	WBGene00020030	I	4182221	4184992	58.1281	58.3196	0
ENSG00000158246	1	27005020	27012836	WBGene00004131	I	5372854	5384508	38.8235	35.1064	0
ENSG00000158246	1	27005020	27012836	WBGene00016596	IV	7179239	7180484	7.76471	12.9412	0
ENSG00000158246	1	27005020	27012836	WBGene00219325	V	10967919	10970281	9.88235	18.0258	0
ENSG00000158246	1	27005020	27012836	WBGene00011957	III	4646507	4647854	11.7647	26.738	0
ENSG00000158246	1	27005020	27012836	WBGene00044662	II	4772835	4773991	5.88235	17.7305	0
ENSG00000158246	1	27005020	27012836	WBGene00017841	II	4770534	4771382	9.17647	19.403	0
ENSG00000171806	1	169792529	169794966	WBGene00017698	III	8652578	8653925	13.7097	20.9877	0
ENSG00000158786	1	20139326	20150386	WBGene00015406	II	375250	375835	19.4313	25.625	0
ENSG00000158786	1	20139326	20150386	WBGene00007419	II	10350760	10351613	20.3791	28.1046	0
ENSG00000169418	1	153678637	153693992	WBGene00020131	I	4481203	4508930	42.7898	35.5799	1
ENSG00000143314	1	156737303	156741590	WBGene00019076	I	5505377	5507023	34.2593	26.6187	1
ENSG00000143384	1	150574551	150579738	WBGene00000423	III	10335172	10337536	12.2857	15.3571	0
ENSG00000143382	1	150549369	150560937	WBGene00003248	V	11446633	11449245	7.01914	15.1277	
ENSG00000143382	1	150549369	150560937	WBGene00003242	V	7827201	7842388	21.7867	11.0291	
ENSG00000143382	1	150549369	150560937	WBGene00001650	IV	9934767	9953433	21.1486	10.7159	
ENSG00000142583	1	9035107	9088478	WBGene00019550	X	3282602	3285721	16.3673	15.6489	
ENSG00000142583	1	9035107	9088478	WBGene00019549	X	3289485	3292412	16.3673	16.9421	
ENSG00000142583	1	9035107	9088478	WBGene00043980	X	3304026	3306939	18.1637	17.4664	
ENSG00000142583	1	9035107	9088478	WBGene00017382	X	3302070	3303927	12.9741	17.0157	
ENSG00000142583	1	9035107	9088478	WBGene00019548	X	3296482	3297993	5.78842	18.8312	
ENSG00000142583	1	9035107	9088478	WBGene00019547	X	3298832	3301637	16.9661	16.3148	
ENSG00000142583	1	9035107	9088478	WBGene00016431	V	5389480	5393148	25.7485	25.0485	
ENSG00000142583	1	9035107	9088478	WBGene00010684	V	15137273	15139888	25.5489	26.1224	
ENSG00000142583	1	9035107	9088478	WBGene00012536	IV	13897817	13902874	23.1537	23.2	
ENSG00000142583	1	9035107	9088478	WBGene00013074	V	18524760	18529156	22.7545	18.5971	
ENSG00000142583	1	9035107	9088478	WBGene00010811	III	3510964	3519607	26.7465	22.1854	
ENSG00000204084	1	37860697	37947057	WBGene00007620	I	9715321	9728108	23.7678	28.2552	0
ENSG00000086015	1	45786987	46036124	WBGene00007047	I	10291870	10297927	10.2892	20.3744	
ENSG00000086015	1	45786987	46036124	WBGene00011992	X	12597168	12597437	1.33482	26.9663	
ENSG00000086015	1	45786987	46036124	WBGene00010838	III	10393389	10396081	6.00667	28.496	
ENSG00000086015	1	45786987	46036124	WBGene00002192	IV	11425742	11447060	31.7575	31.1851	
ENSG00000143379	1	150926263	150964744	WBGene00019584	X	7733334	7736271	4.5701	15.1671	
ENSG00000143379	1	150926263	150964744	WBGene00019883	III	8375300	8380833	12.1611	12.0399	
ENSG00000143379	1	150926263	150964744	WBGene00021282	IV	4390848	4393403	5.49961	12.5	
ENSG00000143379	1	150926263	150964744	WBGene00022431	X	256210	260110	4.80248	11.2523	
ENSG00000143379	1	150926263	150964744	WBGene00008062	I	9519244	9521275	5.88691	14.7002	
ENSG00000143379	1	150926263	150964744	WBGene00008206	X	11970030	11974679	6.58404	12.0056	
ENSG00000143379	1	150926263	150964744	WBGene00020006	IV	4776833	4780083	5.57707	11.784	
ENSG00000143379	1	150926263	150964744	WBGene00018023	II	2690472	2694311	6.89388	24.2507	
ENSG00000143379	1	150926263	150964744	WBGene00008527	X	13444980	13448230	5.11232	12.8906	
ENSG00000143379	1	150926263	150964744	WBGene00019690	II	2816976	2819123	5.03486	16.1692	
ENSG00000143379	1	150926263	150964744	WBGene00020919	X	5675246	5680225	4.9574	6.77966	
ENSG00000143379	1	150926263	150964744	WBGene00016603	I	4254380	4264699	6.42912	5.17456	
ENSG00000143379	1	150926263	150964744	WBGene00011729	III	13643916	13656637	6.11929	3.19192	
ENSG00000142751	1	26876133	26890297	WBGene00015029	I	5935370	5936957	36.4516	42.1642	1
ENSG00000116906	1	231241207	231277973	WBGene00012911	II	12811802	12816462	29.1176	29.5082	1
ENSG00000158828	1	20633455	20651511	WBGene00017137	II	5393293	5395694	27.3666	24.805	0
ENSG00000143641	1	230057990	230282124	WBGene00001629	V	19881374	19895350	47.1103	45.6706	1
ENSG00000143178	1	168281040	168314426	WBGene00003106	II	516014	521605	24.5536	31.7919	
ENSG00000143178	1	168281040	168314426	WBGene00044798	III	1765458	1770091	15.1786	22.2951	
ENSG00000143178	1	168281040	168314426	WBGene00006559	IV	15326939	15328186	15.4018	18.1579	
ENSG00000143178	1	168281040	168314426	WBGene00004750	II	3671908	3673593	14.0625	16.7553	
ENSG00000143178	1	168281040	168314426	WBGene00006546	III	10339984	10341858	20.3125	31.1644	
ENSG00000143178	1	168281040	168314426	WBGene00006545	III	10347575	10349740	21.4286	30.4762	
ENSG00000143178	1	168281040	168314426	WBGene00006556	III	11224800	11227125	19.4196	27.7955	
ENSG00000143178	1	168281040	168314426	WBGene00006557	III	11784147	11786052	16.2946	24.0924	
ENSG00000213171	1	151800264	151806154	WBGene00006366	X	14581654	14584374	13.1535	11.4706	
ENSG00000143126	1	109250019	109275750	WBGene00001980	I	11075758	11134667	14.8135	14.8288	0
ENSG00000143126	1	109250019	109275750	WBGene00014914	I	11067699	11069996	1.77899	15.2493	0
ENSG00000143126	1	109250019	109275750	WBGene00001475	V	13019068	13033373	25.2138	28.3898	0
ENSG00000117620	1	99969351	100035637	WBGene00015404	II	388833	392732	50.1362	54.2773	0
ENSG00000239887	1	162366908	162386818	WBGene00000894	II	8226132	8229122	2.53968	1.62602	0
ENSG00000239887	1	162366908	162386818	WBGene00001116	X	14049535	14063884	18.4127	6.5389	0
ENSG00000239887	1	162366908	162386818	WBGene00009930	X	11589686	11591719	1.90476	1.82371	0
ENSG00000239887	1	162366908	162386818	WBGene00002176	II	1326995	1350136	1.90476	0.601202	0
ENSG00000239887	1	162366908	162386818	WBGene00003830	V	20829811	20837552	0.31746	0.146628	0
ENSG00000116237	1	6221193	6235972	WBGene00017673	I	4901918	4903264	35.9155	34.5763	1
ENSG00000116237	1	6221193	6235972	WBGene00019710	I	5582005	5583471	35.5634	34.471	1
ENSG00000134686	1	33323623	33431052	WBGene00003041	I	7248828	7251422	3.61305	5.06536	0
ENSG00000134686	1	33323623	33431052	WBGene00021661	I	343069	348424	4.07925	6.20567	0
ENSG00000142675	1	26177403	26189886	WBGene00000564	III	10271257	10278579	17.0833	15.3558	0
ENSG00000118873	1	220148293	220272454	WBGene00004318	I	7962052	7972443	17.6597	18.8217	0
ENSG00000131914	1	26410778	26429722	WBGene00000473	I	5619569	5620668	19.6172	15.3558	0
ENSG00000131914	1	26410778	26429722	WBGene00000474	I	5571787	5573019	18.6603	14.717	0
ENSG00000131914	1	26410778	26429722	WBGene00000475	III	10866870	10868727	21.5311	15.3061	0
ENSG00000143398	1	151197949	151249536	WBGene00004087	I	5358522	5365170	43.5943	40.0982	1
ENSG00000182749	1	25861210	25871253	WBGene00016610	IV	6552479	6555920	17.341	13.8249	
ENSG00000182749	1	25861210	25871253	WBGene00019643	V	6895078	6896922	20.8092	23.6842	
ENSG00000182749	1	25861210	25871253	WBGene00022158	I	1670036	1672742	8.95954	12.253	
ENSG00000222009	1	44808482	44815585	WBGene00009820	X	10912118	10914081	8.93471	11.9266	0
ENSG00000222009	1	44808482	44815585	WBGene00018946	X	1391800	1393991	10.3093	14.5631	0
ENSG00000076356	1	208022242	208244320	WBGene00004047	IV	959452	984392	35.2693	34.1513	0
ENSG00000162613	1	77944055	77979110	WBGene00010908	III	4553618	4560350	10.7143	8.07963	
ENSG00000162613	1	77944055	77979110	WBGene00013347	V	18070021	18081957	16.4596	25.6659	
ENSG00000162613	1	77944055	77979110	WBGene00016489	X	17434445	17438080	26.7081	26.8331	
ENSG00000162613	1	77944055	77979110	WBGene00019692	I	5563827	5566265	23.1366	25.4266	
ENSG00000162613	1	77944055	77979110	WBGene00003978	III	1216116	1222072	9.62733	14.3519	
ENSG00000132676	1	155687960	155739010	WBGene00000933	II	10581133	10582519	29.6482	31.4667	1
ENSG00000130939	1	10032832	10181239	WBGene00006734	II	8062741	8066193	22.043	29.1667	0
ENSG00000162444	1	9997206	10016020	WBGene00002259	V	13879552	13880213	32.0896	31.3869	
ENSG00000162444	1	9997206	10016020	WBGene00002260	V	13890679	13891364	27.6119	27.0073	
ENSG00000169241	1	155135344	155138857	WBGene00016922	V	7530261	7531463	1.80995	1.71674	0
ENSG00000169241	1	155135344	155138857	WBGene00012647	III	10625934	10629143	1.35747	1.23457	0
ENSG00000169241	1	155135344	155138857	WBGene00007384	IV	10778985	10780711	2.71493	1.69014	0
ENSG00000160685	1	155002630	155018522	WBGene00012639	IV	13466139	13469402	7.50436	19.7248	
ENSG00000160714	1	154548577	154559028	WBGene00006720	I	10562968	10564914	43.3649	47.2868	0
ENSG00000162621	1	74469878	74512614	WBGene00016974	II	6540217	6544896	11.4675	11.2157	0
ENSG00000171603	1	9729026	9824526	WBGene00000403	II	5945418	5956683	28.4404	28.3537	1
ENSG00000278139	1	46043661	46176488	WBGene00000001	I	5107833	5110183	23.4714	22.7969	0
ENSG00000116729	1	68098473	68233120	WBGene00003246	II	13741742	13749983	36.0958	35.7013	1
ENSG00000055732	1	85018082	85048499	WBGene00000846	III	7584181	7591570	33.8156	27.994	1
ENSG00000092607	1	118883046	118989556	WBGene00003106	II	516014	521605	21.2625	36.9942	
ENSG00000092607	1	118883046	118989556	WBGene00044798	III	1765458	1770091	12.2924	24.2623	
ENSG00000092607	1	118883046	118989556	WBGene00006559	IV	15326939	15328186	11.794	18.6842	
ENSG00000092607	1	118883046	118989556	WBGene00004750	II	3671908	3673593	11.1296	17.8191	
ENSG00000092607	1	118883046	118989556	WBGene00006546	III	10339984	10341858	14.7841	30.4795	
ENSG00000092607	1	118883046	118989556	WBGene00006545	III	10347575	10349740	14.2857	27.3016	
ENSG00000092607	1	118883046	118989556	WBGene00006556	III	11224800	11227125	13.4551	25.8786	
ENSG00000092607	1	118883046	118989556	WBGene00006557	III	11784147	11786052	13.4551	26.7327	
ENSG00000176261	1	32600172	32650903	WBGene00016621	I	10624464	10625387	37.4302	43.2258	1
ENSG00000127124	1	41506365	42035925	WBGene00017430	V	6356025	6362997	5.61097	19.4524	0
ENSG00000127124	1	41506365	42035925	WBGene00004773	I	7038900	7048832	4.15628	13.4409	0
ENSG00000134262	1	113894748	113905201	WBGene00000163	I	7853750	7857850	23.41	18.3069	0
ENSG00000169174	1	55039548	55064852	WBGene00002232	I	11675850	11680975	13.8728	13.8728	0
ENSG00000116833	1	200027602	200177424	WBGene00003623	X	13008493	13013962	29.0203	27.4476	0
ENSG00000134249	1	119893533	119896495	WBGene00006324	I	8792965	8797293	14.557	12.4729	
ENSG00000134249	1	119893533	119896495	WBGene00006804	III	12881037	12891738	23.5443	17.8503	
ENSG00000196449	1	37802944	37808185	WBGene00012997	II	13412635	13414906	26.5233	34.2593	1
ENSG00000162763	1	165544007	165563961	WBGene00011971	I	7684882	7689403	16.9329	8.11639	
ENSG00000162763	1	165544007	165563961	WBGene00020649	IV	274570	279940	14.377	5.10783	
ENSG00000117362	1	150265399	150269580	WBGene00000147	I	9232071	9233560	28.3019	24.3506	0
ENSG00000143171	1	165400917	165445355	WBGene00022423	IV	1386045	1399538	26.5659	18.7215	
ENSG00000143171	1	165400917	165445355	WBGene00003628	X	4532430	4537545	27.2138	23.2472	
ENSG00000143171	1	165400917	165445355	WBGene00003678	II	2976639	2987023	24.1901	18.887	
ENSG00000143171	1	165400917	165445355	WBGene00017198	V	9256864	9261124	21.5983	17.7936	
ENSG00000143171	1	165400917	165445355	WBGene00016975	X	6655547	6659966	19.2225	17.5197	
ENSG00000143171	1	165400917	165445355	WBGene00003659	I	9879183	9881504	21.8143	27.0777	
ENSG00000143171	1	165400917	165445355	WBGene00044354	III	7100482	7102033	12.527	19.2691	
ENSG00000143171	1	165400917	165445355	WBGene00003626	X	13251964	13256282	18.7905	21.0145	
ENSG00000143171	1	165400917	165445355	WBGene00007547	V	12101293	12103286	16.6307	16.4179	
ENSG00000143171	1	165400917	165445355	WBGene00003726	V	12107142	12109201	15.5508	16.5517	
ENSG00000143171	1	165400917	165445355	WBGene00011100	V	12098149	12100111	17.2786	19.1388	
ENSG00000143171	1	165400917	165445355	WBGene00011099	V	12094374	12095947	15.5508	17.561	
ENSG00000143171	1	165400917	165445355	WBGene00011097	V	12092006	12093862	15.3348	17.3171	
ENSG00000143171	1	165400917	165445355	WBGene00011098	V	12096234	12097845	16.6307	18.9655	
ENSG00000143171	1	165400917	165445355	WBGene00021848	III	2561710	2566589	12.527	22.1374	
ENSG00000143171	1	165400917	165445355	WBGene00003706	V	16912234	16915350	18.5745	19.1964	
ENSG00000143171	1	165400917	165445355	WBGene00003650	V	15770302	15773239	19.0065	19.8646	
ENSG00000143171	1	165400917	165445355	WBGene00008221	V	13331117	13333871	17.0626	17.6339	
ENSG00000143171	1	165400917	165445355	WBGene00017787	V	7445065	7446712	16.6307	17.7829	
ENSG00000143171	1	165400917	165445355	WBGene00003719	V	13329193	13331019	15.9827	17.619	
ENSG00000143171	1	165400917	165445355	WBGene00015395	V	7346301	7348135	16.4147	20.3753	
ENSG00000143171	1	165400917	165445355	WBGene00015396	V	7342156	7343838	18.1425	22.7027	
ENSG00000143171	1	165400917	165445355	WBGene00015397	V	7348211	7349664	16.4147	20.2667	
ENSG00000143171	1	165400917	165445355	WBGene00020748	V	3533003	3535235	15.3348	17.8392	
ENSG00000143171	1	165400917	165445355	WBGene00003683	V	3536196	3538407	15.5508	17.3913	
ENSG00000143171	1	165400917	165445355	WBGene00015705	V	7686350	7688228	15.5508	18.799	
ENSG00000270276	1	149854045	149861210	WBGene00001920	IV	11326018	11326329	99.0291	99.0291	0
ENSG00000270276	1	149854045	149861210	WBGene00001888	II	13819626	13819937	99.0291	99.0291	0
ENSG00000270276	1	149854045	149861210	WBGene00001924	V	8847393	8847704	99.0291	99.0291	0
ENSG00000270276	1	149854045	149861210	WBGene00001934	IV	7487560	7488025	99.0291	99.0291	0
ENSG00000270276	1	149854045	149861210	WBGene00001900	II	13825532	13825843	99.0291	99.0291	0
ENSG00000270276	1	149854045	149861210	WBGene00001938	IV	11407084	11407496	99.0291	99.0291	0
ENSG00000270276	1	149854045	149861210	WBGene00001941	I	9988341	9988826	99.0291	99.0291	0
ENSG00000270276	1	149854045	149861210	WBGene00001902	V	8889488	8889799	99.0291	99.0291	0
ENSG00000270276	1	149854045	149861210	WBGene00001912	X	7309413	7309908	99.0291	99.0291	0
ENSG00000270276	1	149854045	149861210	WBGene00001905	IV	8333557	8334021	99.0291	99.0291	0
ENSG00000270276	1	149854045	149861210	WBGene00001930	IV	11338522	11338833	99.0291	99.0291	0
ENSG00000270276	1	149854045	149861210	WBGene00001879	V	8535177	8535662	99.0291	99.0291	0
ENSG00000270276	1	149854045	149861210	WBGene00001892	V	8898195	8898645	99.0291	99.0291	0
ENSG00000270276	1	149854045	149861210	WBGene00001884	II	13823064	13823375	99.0291	99.0291	0
ENSG00000270276	1	149854045	149861210	WBGene00001875	V	16042486	16043013	99.0291	99.0291	0
ENSG00000270276	1	149854045	149861210	WBGene00001911	V	9547083	9547607	99.0291	99.0291	0
ENSG00000143393	1	151291797	151327715	WBGene00018076	X	920200	924511	28.9855	36.036	1
ENSG00000078618	1	51789191	51878937	WBGene00011679	X	15173904	15178145	4.59393	13.2701	0
ENSG00000157911	1	2403964	2413797	WBGene00016318	II	6352542	6355911	13.2948	5.97403	0
ENSG00000174606	1	212992182	213015826	WBGene00020955	V	2653079	2662655	16.3603	17.1154	0
ENSG00000067334	1	93866283	93879918	WBGene00021715	II	3502968	3504910	10.3175	30.9524	0
ENSG00000132855	1	62597487	62606159	WBGene00017013	X	8908050	8910837	16.087	15.914	
ENSG00000132855	1	62597487	62606159	WBGene00007687	II	8978475	8982678	6.52174	3.50877	
ENSG00000132855	1	62597487	62606159	WBGene00020516	V	6842737	6846652	15.6522	19.3548	
ENSG00000132855	1	62597487	62606159	WBGene00011326	V	13689892	13703330	6.73913	0.960942	
ENSG00000254685	1	74198212	74234086	WBGene00044903	III	9947788	9950344	22.0758	28.8793	0
ENSG00000018625	1	160115759	160143591	WBGene00012341	IV	9817412	9824632	13.0392	10.5892	
ENSG00000018625	1	160115759	160143591	WBGene00004063	I	13004437	13023625	22.451	23.4151	
ENSG00000018625	1	160115759	160143591	WBGene00015660	V	8076012	8079914	37.549	36.3378	
ENSG00000018625	1	160115759	160143591	WBGene00015338	V	4934706	4939085	36.9608	35.9048	
ENSG00000018625	1	160115759	160143591	WBGene00003153	IV	3103157	3133147	24.5098	20.2593	
ENSG00000018625	1	160115759	160143591	WBGene00019875	IV	2084034	2091931	25.6863	22.6252	
