From	To	Species	Gene Name
173687	NM_062140	Caenorhabditis elegans	hypothetical protein(C16C8.17)
173686	NM_062139	Caenorhabditis elegans	ShK domain and PerOxidase domain containing protein(skpo-2)
173685	NM_182128	Caenorhabditis elegans	Neprilysin-11(nep-11)
173685	NM_062137	Caenorhabditis elegans	Neprilysin-11(nep-11)
173684	NM_062131	Caenorhabditis elegans	NEPrilysin metallopeptidase family(nep-10)
173683	NM_062130	Caenorhabditis elegans	NEPrilysin metallopeptidase family(nep-9)
173682	NM_001129161	Caenorhabditis elegans	hypothetical protein(T06D4.1)
173682	NM_062126	Caenorhabditis elegans	hypothetical protein(T06D4.1)
187612	NM_059920	Caenorhabditis elegans	Dwarfin sma(daf-8)
173681	NM_062123	Caenorhabditis elegans	BTB and MATH domain containing(bath-9)
173680	NM_062122	Caenorhabditis elegans	BTB and MATH domain containing(bath-10)
187610	NM_071356	Caenorhabditis elegans	hypothetical protein(R05D8.11)
184742	NM_074005	Caenorhabditis elegans	hypothetical protein(F20G2.1)
184743	NM_074006	Caenorhabditis elegans	hypothetical protein(F20G2.2)
184744	NM_074008	Caenorhabditis elegans	Zinc metalloproteinase nas-24(nas-24)
184745	NM_074009	Caenorhabditis elegans	hypothetical protein(F20G2.5)
184746	AB275893	Caenorhabditis elegans	D-aspartate oxidase 3(ddo-3)
184746	NM_066052	Caenorhabditis elegans	D-aspartate oxidase 3(ddo-3)
184747	NM_074462	Caenorhabditis elegans	Serpentine Receptor, class H(srh-276)
184748	NM_074461	Caenorhabditis elegans	hypothetical protein(F21A3.3)
184749	NM_074464	Caenorhabditis elegans	hypothetical protein(F21A3.4)
183177	NM_072371	Caenorhabditis elegans	Serpentine Receptor, class AB (class A-like)(srab-4)
181954	NM_074475	Caenorhabditis elegans	F-box A protein(fbxa-139)
183176	NM_072372	Caenorhabditis elegans	hypothetical protein(C33G8.4)
183179	NM_072366	Caenorhabditis elegans	Nuclear Hormone Receptor family(nhr-139)
183178	NM_072364	Caenorhabditis elegans	Nuclear Hormone Receptor family(nhr-161)
181951	NM_001026180	Caenorhabditis elegans	F-box A protein(fbxa-154)
183173	NM_072375	Caenorhabditis elegans	Serpentine Receptor, class W(srw-127)
181950	NM_074480	Caenorhabditis elegans	F-box A protein(fbxa-153)
184740	NM_075011	Caenorhabditis elegans	Serpentine Receptor, class H(srh-154)
183175	NM_072373	Caenorhabditis elegans	dietary restriction down regulated(drd-10)
183174	NM_072374	Caenorhabditis elegans	hypothetical protein(C33G8.2)
173630	NM_061979	Caenorhabditis elegans	hypothetical protein(Y110A2AL.4)
173630	NM_182232	Caenorhabditis elegans	hypothetical protein(Y110A2AL.4)
173631	NM_001129178	Caenorhabditis elegans	Protein patched homolog 3(ptc-3)
173631	NM_061983	Caenorhabditis elegans	Protein patched homolog 3(ptc-3)
173631	NM_061982	Caenorhabditis elegans	Protein patched homolog 3(ptc-3)
172502	NM_059700	Caenorhabditis elegans	hypothetical protein(T28F4.4)
173632	NM_061985	Caenorhabditis elegans	hypothetical protein(Y110A2AL.9)
172501	NM_059697	Caenorhabditis elegans	hypothetical protein(T28F4.1)
173633	NM_061986	Caenorhabditis elegans	hypothetical protein(Y110A2AL.3)
172500	NM_059696	Caenorhabditis elegans	hypothetical protein(ZK524.4)
173635	AY241927	Caenorhabditis elegans	Beta-1,3-galactosyltransferase sqv-2(sqv-2)
173635	NM_061993	Caenorhabditis elegans	Beta-1,3-galactosyltransferase sqv-2(sqv-2)
183193	NM_059866	Caenorhabditis elegans	Probable cytochrome P450 CYP36A1(cyp-36A1)
172506	NM_059708	Caenorhabditis elegans	Zinc metalloproteinase nas-36(nas-36)
183192	NM_060392	Caenorhabditis elegans	hypothetical protein(C34B2.4)
172505	AY008140	Caenorhabditis elegans	Guanine nucleotide-binding protein G(o) subunit alpha(goa-1)
172505	NM_059707	Caenorhabditis elegans	Guanine nucleotide-binding protein G(o) subunit alpha(goa-1)
173637	NM_061996	Caenorhabditis elegans	UBiquitin Conjugating enzyme(ubc-15)
183191	NM_001264538	Caenorhabditis elegans	hypothetical protein(tag-272)
183191	NM_001264537	Caenorhabditis elegans	hypothetical protein(tag-272)
172504	NM_001025837	Caenorhabditis elegans	PolyBRoMo domain containing(pbrm-1)
172504	NM_001025838	Caenorhabditis elegans	PolyBRoMo domain containing(pbrm-1)
173638	NM_061997	Caenorhabditis elegans	hypothetical protein(Y110A2AR.3)
173638	NM_182189	Caenorhabditis elegans	hypothetical protein(Y110A2AR.3)
183190	NM_068892	Caenorhabditis elegans	Protein-tyrosine-phosphatase(C33H5.16)
172503	NM_059701	Caenorhabditis elegans	hypothetical protein(T28F4.5)
173639	NM_061998	Caenorhabditis elegans	Receptor expression-enhancing protein(Y110A2AR.1)
172509	NM_059714	Caenorhabditis elegans	Probable glycerol-3-phosphate dehydrogenase, mitochondrial(T25G3.4)
183186	NM_068880	Caenorhabditis elegans	Set1 WD40 repeat protein homolog(swd-2.1)
181961	NM_075398	Caenorhabditis elegans	O-ACyltransferase homolog(oac-1)
183183	NM_068894	Caenorhabditis elegans	hypothetical protein(C33H5.1)
172507	NM_059710	Caenorhabditis elegans	Deacetylase Complex Protein(dcp-66)
172507	NM_182031	Caenorhabditis elegans	Deacetylase Complex Protein(dcp-66)
183184	NM_068893	Caenorhabditis elegans	Glycosyltransferase family 92 protein C33H5.2(C33H5.2)
172508	NM_059712	Caenorhabditis elegans	CHitin Synthase(chs-1)
172508	AY874871	Caenorhabditis elegans	CHitin Synthase(chs-1)
183189	NM_001307239	Caenorhabditis elegans	ShuGOshin (yeast chromosome segregation protein) homolog(sgo-1)
183189	NM_068889	Caenorhabditis elegans	ShuGOshin (yeast chromosome segregation protein) homolog(sgo-1)
183187	NM_068881	Caenorhabditis elegans	hypothetical protein(C33H5.8)
183188	NR_131575	Caenorhabditis elegans	hypothetical protein(C33H5.13)
183188	NM_001307236	Caenorhabditis elegans	hypothetical protein(C33H5.13)
183188	NM_068887	Caenorhabditis elegans	hypothetical protein(C33H5.13)
173620	NM_061953	Caenorhabditis elegans	F-box B protein(fbxb-106)
173620	NM_001322719	Caenorhabditis elegans	F-box B protein(fbxb-106)
173623	NM_061959	Caenorhabditis elegans	F-box B protein(fbxb-111)
173624	NM_001306599	Caenorhabditis elegans	hypothetical protein(F08D12.4)
181979	NM_076787	Caenorhabditis elegans	Probable ubiquitin-conjugating enzyme protein 17(ubc-17)
173621	NM_061955	Caenorhabditis elegans	hypothetical protein(F08D12.7)
173622	NM_061958	Caenorhabditis elegans	SKN-1 Dependent Zygotic transcript(sdz-9)
173627	NM_061974	Caenorhabditis elegans	hypothetical protein(K12H6.9)
173625	NM_061965	Caenorhabditis elegans	Signal recognition particle subunit SRP72(srpa-72)
173626	NM_061970	Caenorhabditis elegans	SET (trithorax/polycomb) domain containing(set-13)
183194	NM_059864	Caenorhabditis elegans	Histone acetyltransferase(mys-4)
183195	NM_063450	Caenorhabditis elegans	Serpentine receptor class gamma-15(srg-15)
183196	NM_063444	Caenorhabditis elegans	hypothetical protein(C34C6.3)
183197	NM_001026847	Caenorhabditis elegans	Sphingosine kinase 1(sphk-1)
183197	NM_001026846	Caenorhabditis elegans	Sphingosine kinase 1(sphk-1)
183197	NM_001267250	Caenorhabditis elegans	Sphingosine kinase 1(sphk-1)
183197	NM_001267251	Caenorhabditis elegans	Sphingosine kinase 1(sphk-1)
173629	NM_182220	Caenorhabditis elegans	hypothetical protein(K12H6.6)
173629	NM_061977	Caenorhabditis elegans	hypothetical protein(K12H6.6)
183198	NM_065310	Caenorhabditis elegans	hypothetical protein(C34C12.1)
183199	NM_065313	Caenorhabditis elegans	Putative serine/threonine-protein phosphatase pph-6(pph-6)
172520	NM_059726	Caenorhabditis elegans	Low-density lipoprotein receptor-related protein(lrp-1)
173650	NM_062027	Caenorhabditis elegans	hypothetical protein(B0454.6)
173651	NM_062034	Caenorhabditis elegans	hypothetical protein(B0454.9)
173652	NM_062035	Caenorhabditis elegans	hypothetical protein(lin-8)
173652	DQ150101	Caenorhabditis elegans	hypothetical protein(lin-8)
173653	NM_062036	Caenorhabditis elegans	hypothetical protein(Y25C1A.6)
13185074	NM_001267174	Caenorhabditis elegans	hypothetical protein(C25H3.17)
172528	NM_059737	Caenorhabditis elegans	hypothetical protein(T23G11.7)
172528	NM_059738	Caenorhabditis elegans	hypothetical protein(T23G11.7)
173658	NM_062049	Caenorhabditis elegans	C-type LECtin(clec-123)
172527	NM_059736	Caenorhabditis elegans	Golgin-84(T24B1.1)
173659	NM_001267131	Caenorhabditis elegans	hypothetical protein(T10D4.6)
173659	NM_001267132	Caenorhabditis elegans	hypothetical protein(T10D4.6)
172526	NM_059735	Caenorhabditis elegans	hypothetical protein(F26A3.7)
172525	NM_059732	Caenorhabditis elegans	hypothetical protein(F26A3.4)
172524	NM_059731	Caenorhabditis elegans	Enhancer of Glp-One (glp-1)(ego-1)
172524	AF159143	Caenorhabditis elegans	Enhancer of Glp-One (glp-1)(ego-1)
173654	NM_062037	Caenorhabditis elegans	Protein YIPF(Y25C1A.7)
173654	NM_062038	Caenorhabditis elegans	Protein YIPF(Y25C1A.7)
173654	NM_001027249	Caenorhabditis elegans	Protein YIPF(Y25C1A.7)
181989	NM_001313562	Caenorhabditis elegans	hypothetical protein(B0432.7)
181989	NM_001313561	Caenorhabditis elegans	hypothetical protein(B0432.7)
172523	NM_001263626	Caenorhabditis elegans	RNA-dependent RNA polymerase Family(rrf-1)
172523	NM_001263627	Caenorhabditis elegans	RNA-dependent RNA polymerase Family(rrf-1)
172523	AF159144	Caenorhabditis elegans	RNA-dependent RNA polymerase Family(rrf-1)
172523	NR_050268	Caenorhabditis elegans	RNA-dependent RNA polymerase Family(rrf-1)
173655	NM_062039	Caenorhabditis elegans	Zinc finger Ran-binding domain-containing protein 2(Y25C1A.8)
173655	NM_182188	Caenorhabditis elegans	Zinc finger Ran-binding domain-containing protein 2(Y25C1A.8)
172522	NM_059728	Caenorhabditis elegans	hypothetical protein(F26A3.1)
173656	NM_062040	Caenorhabditis elegans	Coatomer subunit beta(copb-1)
172521	NM_059727	Caenorhabditis elegans	CAP-G condensin subunit(capg-1)
173657	NM_062047	Caenorhabditis elegans	hypothetical protein(Y25C1A.13)
181985	NM_077163	Caenorhabditis elegans	Uncharacterized RING finger protein B0416.4(B0416.4)
181986	NM_001047745	Caenorhabditis elegans	hypothetical protein(B0416.7)
181986	NM_001047746	Caenorhabditis elegans	hypothetical protein(B0416.7)
181981	NM_076102	Caenorhabditis elegans	hypothetical protein(B0410.1)
181982	NM_059283	Caenorhabditis elegans	Serpentine Receptor, class Z(srz-4)
181983	NM_170869	Caenorhabditis elegans	eLRR (extracellular Leucine-Rich Repeat) ONly(lron-8)
181983	NM_059275	Caenorhabditis elegans	eLRR (extracellular Leucine-Rich Repeat) ONly(lron-8)
172529	NM_001129050	Caenorhabditis elegans	eLRR (extracellular Leucine-Rich Repeat) ONly(lron-9)
172529	NR_050271	Caenorhabditis elegans	eLRR (extracellular Leucine-Rich Repeat) ONly(lron-9)
172529	NM_001083146	Caenorhabditis elegans	eLRR (extracellular Leucine-Rich Repeat) ONly(lron-9)
172529	NM_001026467	Caenorhabditis elegans	eLRR (extracellular Leucine-Rich Repeat) ONly(lron-9)
181984	NM_077167	Caenorhabditis elegans	hypothetical protein(B0416.2)
181980	NM_076788	Caenorhabditis elegans	hypothetical protein(B0403.3)
184706	NM_072384	Caenorhabditis elegans	hypothetical protein(F20A1.8)
173641	NM_001027064	Caenorhabditis elegans	Nuclear Hormone Receptor family(nhr-88)
173641	NM_001027066	Caenorhabditis elegans	Nuclear Hormone Receptor family(nhr-88)
184707	NM_072387	Caenorhabditis elegans	hypothetical protein(F20A1.10)
173640	NM_061999	Caenorhabditis elegans	hypothetical protein(ZK355.2)
173640	NM_182219	Caenorhabditis elegans	hypothetical protein(ZK355.2)
172515	NM_059720	Caenorhabditis elegans	Piwi-like protein(prg-1)
173649	NM_062022	Caenorhabditis elegans	hypothetical protein(C41H7.3)
172514	AY594301	Caenorhabditis elegans	Methylmalonyl-CoA Epimerase(mce-1)
172514	NM_059719	Caenorhabditis elegans	Methylmalonyl-CoA Epimerase(mce-1)
172517	NM_059722	Caenorhabditis elegans	hypothetical protein(D2030.8)
173647	NM_001267128	Caenorhabditis elegans	hypothetical protein(C41H7.5)
173647	NM_001267127	Caenorhabditis elegans	hypothetical protein(C41H7.5)
172516	NM_059721	Caenorhabditis elegans	hypothetical protein(D2030.7)
173648	NM_062021	Caenorhabditis elegans	hypothetical protein(C41H7.4)
172511	NM_001025906	Caenorhabditis elegans	hypothetical protein(D2030.2)
172511	NM_001025905	Caenorhabditis elegans	hypothetical protein(D2030.2)
173645	NM_062018	Caenorhabditis elegans	hypothetical protein(K08A2.1)
172510	NM_059715	Caenorhabditis elegans	alpha-1,2-Mannosidase(mans-1)
173646	NM_062019	Caenorhabditis elegans	hypothetical protein(C41H7.6)
172513	NM_059718	Caenorhabditis elegans	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7(D2030.4)
173643	NM_062016	Caenorhabditis elegans	hypothetical protein(K08A2.4)
172512	NM_059717	Caenorhabditis elegans	hypothetical protein(D2030.3)
173644	NM_062017	Caenorhabditis elegans	hypothetical protein(K08A2.2)
181998	NM_075185	Caenorhabditis elegans	F-box B protein(fbxb-119)
181999	NM_066683	Caenorhabditis elegans	Probable protein phosphatase methylesterase 1(B0464.9)
181996	NM_063495	Caenorhabditis elegans	hypothetical protein(B0457.4)
181994	NM_062029	Caenorhabditis elegans	hypothetical protein(B0454.8)
172518	NM_001306353	Caenorhabditis elegans	DDB1-and CUL4-associated factor 11 homolog(wdr-23)
172518	NM_059724	Caenorhabditis elegans	DDB1-and CUL4-associated factor 11 homolog(wdr-23)
172518	NM_059723	Caenorhabditis elegans	DDB1-and CUL4-associated factor 11 homolog(wdr-23)
172518	NM_001306354	Caenorhabditis elegans	DDB1-and CUL4-associated factor 11 homolog(wdr-23)
172518	NM_001263616	Caenorhabditis elegans	DDB1-and CUL4-associated factor 11 homolog(wdr-23)
172519	NM_170901	Caenorhabditis elegans	hypothetical protein(aex-1)
172519	NM_001025903	Caenorhabditis elegans	hypothetical protein(aex-1)
172519	AF324832	Caenorhabditis elegans	hypothetical protein(aex-1)
181992	NM_062028	Caenorhabditis elegans	hypothetical protein(B0454.5)
181993	NM_062026	Caenorhabditis elegans	C-type LECtin(clec-2)
181990	NM_061290	Caenorhabditis elegans	hypothetical protein(B0432.8)
181991	NM_061296	Caenorhabditis elegans	hypothetical protein(B0432.11)
184700	NM_077674	Caenorhabditis elegans	hypothetical protein(F19H6.6)
184702	NM_064635	Caenorhabditis elegans	hypothetical protein(F19H8.2)
184705	NM_072377	Caenorhabditis elegans	Serpentine Receptor, class SX(srsx-32)
184704	NM_072383	Caenorhabditis elegans	hypothetical protein(F20A1.2)
172104	NM_059068	Caenorhabditis elegans	hypothetical protein(F25F8.1)
172103	U14525	Caenorhabditis elegans	Glutamate-gated chloride channel subunit beta(glc-2)
172103	NM_059069	Caenorhabditis elegans	Glutamate-gated chloride channel subunit beta(glc-2)
172106	NM_059072	Caenorhabditis elegans	Protein-S-isoprenylcysteine O-methyltransferase(icmt-1)
172105	NM_059071	Caenorhabditis elegans	Acetylcholine receptor subunit alpha-type unc-38(unc-38)
172105	X98600	Caenorhabditis elegans	Acetylcholine receptor subunit alpha-type unc-38(unc-38)
184797	NM_074700	Caenorhabditis elegans	Receptor-type guanylate cyclase gcy-20(gcy-20)
172108	NM_059074	Caenorhabditis elegans	Probable peptidyl-alpha-hydroxyglycine alpha-amidating lyase pgal-1(pgal-1)
184798	NM_074701	Caenorhabditis elegans	B3GNT1, Beta-1,3-N-acetylGucosamiNylTransferase 1, homolog(bgnt-1.3)
172107	NM_059073	Caenorhabditis elegans	hypothetical protein(F21F3.2)
184799	NM_074699	Caenorhabditis elegans	Serpentine Receptor, class H(srh-95)
172109	NM_059075	Caenorhabditis elegans	hypothetical protein(F21F3.6)
184793	NM_077260	Caenorhabditis elegans	PHd Finger family(phf-34)
184794	NM_077261	Caenorhabditis elegans	hypothetical protein(F21G4.5)
172100	NM_001129017	Caenorhabditis elegans	hypothetical protein(F57C9.4)
172100	NM_059058	Caenorhabditis elegans	hypothetical protein(F57C9.4)
172100	NM_059059	Caenorhabditis elegans	hypothetical protein(F57C9.4)
184790	NM_072738	Caenorhabditis elegans	SLC (SoLute Carrier) homolog(slc-17.5)
172102	NM_059065	Caenorhabditis elegans	Rho GTPase Activating protein(rga-6)
172102	NM_059064	Caenorhabditis elegans	Rho GTPase Activating protein(rga-6)
184792	NM_077259	Caenorhabditis elegans	hypothetical protein(F21G4.3)
172101	NM_059063	Caenorhabditis elegans	Putative pyridoxal kinase(F57C9.1)
172101	NM_059062	Caenorhabditis elegans	Putative pyridoxal kinase(F57C9.1)
172101	NM_001262804	Caenorhabditis elegans	Putative pyridoxal kinase(F57C9.1)
179698	NM_073701	Caenorhabditis elegans	hypothetical protein(K01D12.15)
172543	NM_059755	Caenorhabditis elegans	hypothetical protein(D2005.1)
179699	NM_001276941	Caenorhabditis elegans	TWiK family of potassium channels(twk-14)
179699	NM_001269485	Caenorhabditis elegans	TWiK family of potassium channels(twk-14)
179699	NM_001269486	Caenorhabditis elegans	TWiK family of potassium channels(twk-14)
172544	NM_059757	Caenorhabditis elegans	Neuropeptide-Like Protein(nlp-8)
179696	NM_182350	Caenorhabditis elegans	FIP (Fungus-Induced Protein) Related(fipr-2)
